1000,23.768606,
2000,23.93029,
3000,23.712645,
4000,23.664808,
5000,40.45136,
6000,286.04498,
7000,242.50117,
8000,386.3648,
9000,383.68097,
10000,347.8527,
11000,421.37842,
12000,323.58417,
13000,310.21985,
14000,339.00015,
15000,362.02402,
16000,348.99463,
17000,381.37317,
18000,217.09183,
19000,206.47221,
20000,609.0864,
21000,614.4137,
22000,530.0919,
23000,577.1372,
24000,479.87262,
25000,104.64695,
26000,456.57364,
27000,634.12823,
28000,540.67896,
29000,184.69217,
30000,693.53845,
31000,2038.6191,
32000,866.5861,
33000,887.2464,
34000,652.3099,
35000,913.18085,
36000,841.02295,
37000,702.5252,
38000,142.79941,
39000,785.7867,
40000,1043.9578,
41000,907.6453,
42000,853.8317,
43000,1021.7362,
44000,1510.7659,
45000,793.8605,
46000,612.7419,
47000,760.1771,
48000,867.65576,
49000,885.421,
50000,805.8358,
51000,720.3857,
52000,871.4256,
53000,513.41315,
54000,993.1038,
55000,1136.6698,
56000,941.85095,
57000,933.36115,
58000,743.2535,
59000,3030.8628,
60000,1071.7277,
61000,1940.0391,
62000,1057.6553,
63000,1094.0002,
64000,1545.6647,
65000,1204.8435,
66000,1394.3842,
67000,2323.6138,
68000,2856.5254,
69000,929.41394,
70000,851.63446,
71000,1131.2571,
72000,969.5042,
73000,1087.6107,
74000,1191.7803,
75000,1429.0969,
76000,2436.2212,
77000,1075.549,
78000,783.8983,
79000,881.3949,
80000,872.3125,
81000,2864.2585,
82000,3013.1787,
83000,3020.411,
84000,776.6593,
85000,1585.4094,
86000,2692.1587,
87000,1350.3092,
88000,1158.3641,
89000,2870.9265,
90000,1219.0809,
91000,960.86896,
92000,949.512,
93000,1799.1926,
94000,1021.92725,
95000,939.53876,
96000,2158.6626,
97000,1356.4904,
98000,1119.8984,
99000,841.48987,
100000,2817.5957,
