10K_75K_bias_dropQ_Ant-v2-eval_return_mean,10K_75K_bias_dropQ_Ant-v2-eval_return_std,10K_75K_bias_dropQ_Ant-v2-mean_loss_q_mean,10K_75K_bias_dropQ_Ant-v2-mean_loss_q_std,10K_75K_bias_dropQ_Ant-v2-policy_loss_mean,10K_75K_bias_dropQ_Ant-v2-policy_loss_std,vanilla_dropQ_bias_Ant-v2-eval_return_mean,vanilla_dropQ_bias_Ant-v2-eval_return_std,vanilla_dropQ_bias_Ant-v2-mean_loss_q_mean,vanilla_dropQ_bias_Ant-v2-mean_loss_q_std,vanilla_dropQ_bias_Ant-v2-policy_loss_mean,vanilla_dropQ_bias_Ant-v2-policy_loss_std,vanilla_redQ_Ant-v2-eval_return_mean,vanilla_redQ_Ant-v2-eval_return_std,vanilla_redQ_Ant-v2-mean_loss_q_mean,vanilla_redQ_Ant-v2-mean_loss_q_std,vanilla_redQ_Ant-v2-policy_loss_mean,vanilla_redQ_Ant-v2-policy_loss_std,sac_1_vanilla_bias_Ant-v2-eval_return_mean,sac_1_vanilla_bias_Ant-v2-eval_return_std,sac_1_vanilla_bias_Ant-v2-mean_loss_q_mean,sac_1_vanilla_bias_Ant-v2-mean_loss_q_std,sac_1_vanilla_bias_Ant-v2-policy_loss_mean,sac_1_vanilla_bias_Ant-v2-policy_loss_std
979.6628083440488,13.177946317658957,2.7567792177200316,1.5940062333379101,-44.79600524902344,3.2670030017596217,843.7780269629951,56.41577569974517,3.7949941158294678,1.2404208036330913,-184.7131805419922,59.14853364294526,725.6688445887024,157.19905440213577,4.633745956420898,2.8900643209754784,-134.01700134277343,27.409774637440982,990.2224571067547,5.50050339534476,2.3905178189277647,1.2785733164022997,-39.913302993774415,8.825110837974218
968.6972967136223,19.952676209418385,2.6901731872558594,1.510623932007245,-45.19787879943848,3.3235500572930166,828.5212842004566,61.868566871569534,3.720777668952942,1.2881999277836351,-184.15710739135744,59.00832046823402,711.6350402919527,160.54182091546096,4.8446993675231935,3.1995690480913512,-131.08257278442383,26.481925127985726,982.5504816576852,7.163439187238774,2.3141754877567293,1.1994505675326235,-40.28207557678223,8.774252529623906
948.3346194382523,21.814390241349805,2.66258561706543,1.4608602788786151,-45.8480295791626,3.4097322684917044,816.5357891880889,61.649247552731865,3.5629883084297185,1.2610598013881864,-179.32417695617679,59.42785256519525,686.7961607244232,165.40044463328985,4.785931472396851,3.146708168523874,-126.21731774902344,24.982443045641748,968.2989584230406,11.645449084638264,2.2302150713205338,1.116442021772182,-40.891098396301274,8.531570916942472
919.2473316257331,27.950456848438648,2.6091993078231814,1.3965489111318936,-46.634755399322515,3.426030932201262,807.2242691329009,64.81120774119027,3.360322383069992,1.1795863146053263,-173.34732040252686,59.84721338317708,665.4706565273692,170.16063362351002,4.5785140453720095,2.9589934828849684,-120.93313350524902,24.04433712529988,945.2789791644323,17.925688752114254,2.1912405812859537,1.074995767750768,-41.673310883331304,8.095641129734362
883.1738359531306,41.89335807093798,2.5342937455749515,1.3434934753945755,-47.57036494239808,3.3572332317992934,797.3503980287676,64.70845389384579,3.17799885781765,1.1149484533574092,-166.10360658126834,58.62249725187757,649.3911598126368,169.15168791268405,5.974502640987397,5.9217543636240215,-114.87605954986573,22.800342533714538,912.6450125035434,24.939050959861113,2.116022832762003,1.0042627294905082,-42.594067716140756,7.5367366145664345
854.2470547288417,47.5167954968141,2.459251288131714,1.2815477150687158,-48.41514508329011,3.315991818825985,780.0423814689284,68.2318439045497,2.979525385905743,1.0375660362205863,-157.69284446440128,55.93201346971504,636.2251728430386,165.3915536712804,5.630547478817368,5.419358803367564,-108.4096011321106,21.893009103633123,873.3647861272291,34.64973828482345,2.036076638314843,0.9241680191820008,-43.473514933174144,7.032009280937258
822.2231747156235,46.78038473358623,2.333829789956665,1.1787971410351181,-49.45569806458512,3.4005236392350016,759.005398724447,72.3536007216422,2.7999728834117414,0.9703203606099057,-148.72666884364475,53.39883863830953,625.3547871444632,164.333881428298,5.282736360391198,4.95352371100695,-101.2045950365387,20.326024628585266,845.4862374762947,44.93649784733543,1.9898945974234223,0.8747748930303303,-44.30647418509599,6.569075252958442
776.6108076672454,48.104930099414446,2.227411172628632,1.0751460218934694,-50.4309537586149,3.4886528133368753,738.7122224092006,79.15006095435142,2.6309438629882007,0.9098237222169951,-140.3546869263213,50.83251211685199,608.2967428792523,157.82536336420551,4.96688876690884,4.518782377530883,-94.43049959233309,18.943132070608527,823.976512004156,55.211396919018895,1.925567722939564,0.8047622601051428,-45.08714146385202,6.138637246485036
740.4919010002291,54.681579312190294,2.1500271229507604,0.9907513772022066,-51.25947062640575,3.5813269628540687,714.779432542835,81.59879763377748,2.4696738222780645,0.8547865207552556,-132.7291330896462,48.40108394412529,595.9789122287984,146.92893904491058,4.670184829793151,4.138099943024645,-88.09045096061443,17.75168920146509,789.8531527690674,62.63841171475669,1.8674166684953393,0.7518770172042197,-45.81934917720803,5.7292841048975625
701.9887296833125,58.38211230986725,2.0910407294537494,0.9221783604961604,-51.98600716056693,3.6804080282557683,695.5216454955014,90.57804006656963,2.320156268436565,0.7999791920085473,-125.3419862296562,45.555954206334434,582.4280126374308,149.69750802307087,4.391304530407587,3.7493075487532064,-82.0012197454734,16.926393887778982,759.1131117275281,67.42708153957065,1.8180301289804002,0.7090492407610496,-46.50380708175285,5.355605989601814
