10K_75K_bias_dropQ_Hopper-v2-eval_return_mean,10K_75K_bias_dropQ_Hopper-v2-eval_return_std,10K_75K_bias_dropQ_Hopper-v2-mean_loss_q_mean,10K_75K_bias_dropQ_Hopper-v2-mean_loss_q_std,10K_75K_bias_dropQ_Hopper-v2-policy_loss_mean,10K_75K_bias_dropQ_Hopper-v2-policy_loss_std,vanilla_dropQ_bias_Hopper-v2-eval_return_mean,vanilla_dropQ_bias_Hopper-v2-eval_return_std,vanilla_dropQ_bias_Hopper-v2-mean_loss_q_mean,vanilla_dropQ_bias_Hopper-v2-mean_loss_q_std,vanilla_dropQ_bias_Hopper-v2-policy_loss_mean,vanilla_dropQ_bias_Hopper-v2-policy_loss_std,vanilla_redQ_Hopper-v2-eval_return_mean,vanilla_redQ_Hopper-v2-eval_return_std,vanilla_redQ_Hopper-v2-mean_loss_q_mean,vanilla_redQ_Hopper-v2-mean_loss_q_std,vanilla_redQ_Hopper-v2-policy_loss_mean,vanilla_redQ_Hopper-v2-policy_loss_std,sac_1_vanilla_bias_Hopper-v2-eval_return_mean,sac_1_vanilla_bias_Hopper-v2-eval_return_std,sac_1_vanilla_bias_Hopper-v2-mean_loss_q_mean,sac_1_vanilla_bias_Hopper-v2-mean_loss_q_std,sac_1_vanilla_bias_Hopper-v2-policy_loss_mean,sac_1_vanilla_bias_Hopper-v2-policy_loss_std
90.02482728086487,18.615245177870552,1.0371281027793884,0.8127221382300315,-19.43797664642334,5.169261080615966,204.32015251698823,60.05049529892331,5.32962703704834,1.935415868207021,-177.90985107421875,16.366877320199528,401.55013820247524,327.7599187838998,8.75202850341797,4.105952199280748,-172.59412231445313,23.415818597073002,68.61665147372719,9.504486614566183,2.236353635787964,0.5143616199493408,-39.074302673339844,12.637107849121094
104.41566339436694,20.973475137588242,1.1856406605243683,0.9592184854521709,-19.532655963897707,5.1131620312660235,241.78526798179132,91.4466933884143,5.198565933704376,2.051232377614723,-177.79438110351563,16.189192909022974,400.97790966551884,304.7456190918985,10.45480258178711,5.213822953037409,-173.51481994628907,22.149457022828457,86.13768029104415,12.745643470974336,2.2245718598365785,0.48158944845199586,-39.68673095703125,12.658668899536135
113.2817229463935,22.23772635120771,1.1984989860057833,0.947815571170893,-19.936655267715455,5.260516131678687,265.5046954989146,111.69722726933382,5.001181247472764,2.0039559721938356,-177.41821722412112,15.829976891427375,421.34812614025316,310.36082069394433,12.617044903564455,7.92032693762966,-174.41595880126954,20.930554711637562,99.87229660782882,12.129126929262595,2.7831395590305332,0.7662930238246919,-40.89724296569825,12.89075695037842
123.4292081068615,21.504383572272697,1.2526918415784838,0.9277717890295252,-20.428806925392152,5.379642357631814,303.68695237511906,132.61988349625756,4.839592475867272,2.0297886732730586,-176.3102938171387,14.704093747321133,469.8015904325889,300.6731970235988,13.626490346069339,8.047240600319588,-175.67314618530276,19.73455193512521,113.16348673914791,13.993451946776604,2.926612221360207,0.7093324197530748,-42.70351609802246,12.505456470489504
132.81629533412638,20.838631590884816,1.3560401574873926,1.030646563922091,-21.10037264398575,5.514702923214457,320.8256643000245,150.7451462462566,4.880826156594755,2.1896985823433233,-174.8199797674561,13.855859123729006,513.3481633474232,297.47637632668045,14.504909258850102,8.225247329427965,-176.96833248229981,18.417875777977997,122.74482389298214,13.273470040511096,3.1102053670525556,0.815636068570614,-45.04899490966797,11.477160235977175
162.5474551297423,50.0708894498702,1.4917298235986234,1.0960019021496603,-21.79332778071022,5.604549207261133,337.6793484721435,164.79700262365577,4.607144097022773,2.110680507417194,-173.50634269158937,13.19985640494625,512.311554299527,295.4030955938705,14.351258878619388,7.789571615739017,-178.3587947662964,17.235352170203903,138.30495833304306,12.061443005891402,3.157356388727427,0.8209912925851346,-47.567213628540046,10.510741133155825
203.17011514998538,82.66825594561547,1.5275206206882241,1.0482277299817664,-22.76856687916508,5.65116704129846,350.8483025956443,168.16461819240718,4.351889489471223,1.9909652350927745,-172.3777158687195,12.68354245591484,496.98894064334536,277.83328730494134,14.825422007481084,7.754217207482737,-179.67632715490114,16.058256120753594,150.6740967398728,13.190816180728595,3.5273816889759306,1.1939159646533728,-50.06828988836671,9.721516613956453
242.0920632119213,111.09285509387695,1.6609845505932788,1.114491359561786,-23.809022050379433,5.6294955566511,379.99020552891255,193.77484692781854,4.19386503432331,2.0650473463151213,-171.58429608848814,13.328285010232214,478.28409702584304,256.18170409293236,16.114279907440984,8.890474434316717,-180.78585722017274,14.586265394139783,152.18478227640855,20.5943773576959,3.6948458826157218,1.3023753179522874,-52.89993364733277,8.806090263840106
261.1314123386001,130.06658983627156,2.0741614174944,1.4355065694473041,-24.904155764530945,5.735759303131248,402.90940484065027,198.87147365278605,3.95083300114397,1.9295207558150977,-170.74571343398503,14.656954456715505,475.3015254880569,250.6652835665491,17.44250618305431,9.310045377129805,-181.8713224014758,13.694560195307467,164.7698306190384,20.830568463703756,3.8632630296599357,1.3469732296537629,-56.11854509522156,8.533278097197307
279.2866755423671,148.1484703327293,2.193897865304515,1.5263216735456264,-26.11003123422043,5.942321447076705,415.3398392528085,196.81978916133252,3.8970491895740373,2.037656676829629,-170.14235409620176,15.85957184595372,476.7472617053964,243.8578056887243,17.662335246145364,8.869819106070922,-182.55347299824228,13.075266542156093,175.27827039397388,20.7739058664922,4.03098366749747,1.3236041032139603,-59.30877188452754,8.122217133180701
