10K_75K_bias_dropQ_Humanoid-v2-eval_return_mean,10K_75K_bias_dropQ_Humanoid-v2-eval_return_std,10K_75K_bias_dropQ_Humanoid-v2-mean_loss_q_mean,10K_75K_bias_dropQ_Humanoid-v2-mean_loss_q_std,10K_75K_bias_dropQ_Humanoid-v2-policy_loss_mean,10K_75K_bias_dropQ_Humanoid-v2-policy_loss_std,vanilla_dropQ_bias_Humanoid-v2-eval_return_mean,vanilla_dropQ_bias_Humanoid-v2-eval_return_std,vanilla_dropQ_bias_Humanoid-v2-mean_loss_q_mean,vanilla_dropQ_bias_Humanoid-v2-mean_loss_q_std,vanilla_dropQ_bias_Humanoid-v2-policy_loss_mean,vanilla_dropQ_bias_Humanoid-v2-policy_loss_std,vanilla_redQ_Humanoid-v2-eval_return_mean,vanilla_redQ_Humanoid-v2-eval_return_std,vanilla_redQ_Humanoid-v2-mean_loss_q_mean,vanilla_redQ_Humanoid-v2-mean_loss_q_std,vanilla_redQ_Humanoid-v2-policy_loss_mean,vanilla_redQ_Humanoid-v2-policy_loss_std,sac_1_vanilla_bias_Humanoid-v2-eval_return_mean,sac_1_vanilla_bias_Humanoid-v2-eval_return_std,sac_1_vanilla_bias_Humanoid-v2-mean_loss_q_mean,sac_1_vanilla_bias_Humanoid-v2-mean_loss_q_std,sac_1_vanilla_bias_Humanoid-v2-policy_loss_mean,sac_1_vanilla_bias_Humanoid-v2-policy_loss_std
209.16827979237718,15.859133042507343,67.32648544311523,25.325761919715692,-133.03248596191406,41.65304738707187,364.8213711266946,32.03752389961229,85.92614974975587,25.972266114561176,-299.69435119628906,34.97698908590015,320.4552510899467,54.10498456429462,147.73476684570315,66.36949138180913,-351.5144409179687,94.2099350106226,207.78910793116188,7.355397908239346,69.9818738301595,62.512655962809326,-138.18914540608725,43.443103552297764
208.4362896448885,20.409722644233455,67.21065376281737,23.89750702318635,-133.70479278564454,41.24258103361401,368.90964211427206,37.98972093227341,84.09316276550294,25.424430591516458,-299.05781036376953,35.95759238725878,322.67766650480587,56.28279012766197,143.288628112793,64.80139663017796,-347.9809918212891,92.9568190366839,207.03642336636466,12.373928284117113,65.22266203562418,56.64115691923264,-140.01481704711915,43.538988660624305
210.09710838840496,26.31006975411808,67.74084799957275,23.067660137826742,-134.8955647277832,40.85516727424174,379.1553162609162,37.397672868158665,81.63490155792238,24.604946161433684,-296.8642003479004,36.81351966547695,334.0450932247836,57.36639000439337,136.29743058471684,64.96680457237451,-344.9180504150391,93.14824787890835,215.8185135448316,13.293027001042725,61.970432338714595,52.109065515704785,-143.00147010803224,41.85812709819726
227.91870165573016,32.603586631932146,67.69121563796998,22.567339657385507,-140.1843561859131,42.01625097313051,387.3781807515369,39.17543979263772,79.48812473526003,23.787750812498857,-292.0301673980713,35.92965962928203,336.67610763077886,54.89308603726483,125.93368929626469,59.6087347888004,-338.83170802001956,92.91342335248937,237.8798479302529,17.168448239535508,59.229737015406286,47.00564627624605,-146.70184749094648,41.0887614097427
246.17781350924452,34.19476219299749,70.83674693672181,27.28495396134543,-147.5139430282593,42.59870869933795,394.4302840720586,45.791272476234646,77.25054334083559,22.689343049435642,-285.9363477407837,34.812818548189526,340.1747356007608,52.85326728971998,115.90747741009525,54.16741528263703,-331.23711418334966,89.27869882569983,257.68164270357335,18.432621724506852,57.745806867535904,43.445595404177865,-150.5753013526917,40.487124413686026
258.08415675637895,38.87829458152188,69.86688350708772,25.654776860733605,-154.7039461253357,43.16013870528624,405.01598476207187,42.911015031649335,74.2521391684952,21.539686380912475,-279.3193246000061,32.79253920734146,353.4895907251574,52.21560995336224,106.91228112172244,49.3855486755069,-323.1300531556397,84.15650782985716,275.3742211133752,27.232925848773924,55.16219997126897,39.19067371361216,-155.57226086179102,38.657404103071
271.17168022191936,41.05027572314464,70.08681449536822,24.933969022622215,-161.45129077061463,43.583296582016864,408.05239433488526,42.26802452290435,71.00053471819842,20.253525246990932,-272.1059675794586,30.884524767080404,361.2280409125717,51.17458298333418,98.46529667715274,45.26308800804476,-315.4928843268922,80.01300606329481,303.0069961760434,27.519163061590575,54.04022168861961,37.359694455119225,-159.15563993918613,36.5139670057028
286.7262510217354,49.58439153596571,70.94507594744272,23.7978612662475,-168.3243187370102,43.99028416597169,415.0726724359033,42.65551216999998,68.04662832584636,19.085743946876313,-265.49967471555567,28.534554325866026,373.16470289028797,50.908048118730655,90.36606296891011,41.01687833003747,-306.92677033267955,74.35894147834124,321.4115913919228,32.781113015356354,53.13992126556657,34.53561768196499,-163.77106349409567,35.22832922556678
301.5481864625541,50.390715970228236,71.47591770267402,23.09250588856728,-174.7794124980748,42.343294964182775,427.57982870869046,43.91542251461168,64.93204655557862,17.78726324449137,-259.2226033621642,26.327604200190997,380.7626633966878,51.43580435157581,82.9484555733863,37.27823866001799,-299.3717641978491,69.62074117417234,323.4917014517153,33.52651075288947,52.18527915274282,32.76903699415224,-168.97981275585147,34.65403471984981
312.0342211305898,55.109929626699476,72.33207928934021,22.313837309255177,-181.0733026081306,40.75362258496204,438.2652750768056,44.560113077756625,62.39709064880006,16.598249429998095,-253.18996399762744,24.30866520520806,394.17880814821973,51.29308255744673,76.33168844622345,33.761423670359555,-291.4277497043337,65.51986094947208,325.5312590052881,36.64203547213503,51.98208644763293,30.95081221338839,-174.13829001705017,34.22783038707917
313.86800993194277,58.98935412447712,74.1450790935605,22.476178452268673,-186.30011907583318,38.59654566220671,446.0789684646659,47.47673511583835,60.03786826299721,15.815752328719995,-247.86896045675144,22.531367491602516,404.4761303562837,52.593495234125,70.27341465164993,30.695990296501442,-283.7533081689589,61.81531701084035,324.700880529918,34.47396212595793,51.490023025851414,29.10402005346075,-177.79198878634125,32.29487302923135
317.298260063591,66.99582762704644,76.49522419934117,23.17788945359162,-191.2052011623905,36.69699305461321,455.1602986871245,53.929677407898666,57.551147514883525,14.607552124403993,-242.19325825873253,20.68377373053873,415.19826205296147,51.34482058558747,64.80775760420954,27.983858698053197,-277.5393890952271,58.575565982897764,329.7805976957154,35.302711864973844,51.442856991373375,27.46732002462045,-182.1572438465092,30.690164964059335
325.0430325978014,65.50270348239823,79.41437823204377,23.11763635417805,-196.1375658728116,34.78119965947218,462.0666913857092,52.32995406686195,55.22633969393717,13.442308756360513,-237.05670739623818,19.572178028215028,426.50992914500677,51.2884206406055,59.78749090750929,25.458938254889063,-270.43517064468875,55.30575393503406,330.19400651859814,35.366318713144864,52.16387013561983,25.479540935123875,-186.12585936664345,29.611064366400058
337.2248605885439,68.36441273479804,83.39655140127104,24.097462689596234,-199.67007820642888,32.56194064083387,473.7440348219409,53.06635204496118,53.076698354548334,12.336440127405712,-232.6621114857159,18.06061257251698,437.54084687820944,51.52242046391215,55.31668096470757,23.18180008967043,-263.66118208363787,51.60612194851864,327.09781127486815,34.036492723058636,53.30073171824925,25.212322463426045,-189.18790976217312,27.400171093653082
