10K_75K_bias_dropQ_Walker2d-v2-eval_return_mean,10K_75K_bias_dropQ_Walker2d-v2-eval_return_std,10K_75K_bias_dropQ_Walker2d-v2-mean_loss_q_mean,10K_75K_bias_dropQ_Walker2d-v2-mean_loss_q_std,10K_75K_bias_dropQ_Walker2d-v2-policy_loss_mean,10K_75K_bias_dropQ_Walker2d-v2-policy_loss_std,vanilla_dropQ_bias_Walker2d-v2-eval_return_mean,vanilla_dropQ_bias_Walker2d-v2-eval_return_std,vanilla_dropQ_bias_Walker2d-v2-mean_loss_q_mean,vanilla_dropQ_bias_Walker2d-v2-mean_loss_q_std,vanilla_dropQ_bias_Walker2d-v2-policy_loss_mean,vanilla_dropQ_bias_Walker2d-v2-policy_loss_std,vanilla_redQ_Walker2d-v2-eval_return_mean,vanilla_redQ_Walker2d-v2-eval_return_std,vanilla_redQ_Walker2d-v2-mean_loss_q_mean,vanilla_redQ_Walker2d-v2-mean_loss_q_std,vanilla_redQ_Walker2d-v2-policy_loss_mean,vanilla_redQ_Walker2d-v2-policy_loss_std,sac_1_vanilla_bias_Walker2d-v2-eval_return_mean,sac_1_vanilla_bias_Walker2d-v2-eval_return_std,sac_1_vanilla_bias_Walker2d-v2-mean_loss_q_mean,sac_1_vanilla_bias_Walker2d-v2-mean_loss_q_std,sac_1_vanilla_bias_Walker2d-v2-policy_loss_mean,sac_1_vanilla_bias_Walker2d-v2-policy_loss_std
279.8761151358931,14.566935018837995,4.759890460968018,3.372675617111748,-38.14092254638672,6.77734242010344,207.4710248041494,105.91286894320878,14.746636962890625,8.631620184278427,-163.56173095703124,18.77849131847968,198.33306638769733,142.55788472702946,44.38276794433594,59.79457121971348,-166.99635620117186,23.46157856323726,184.94181113706827,107.03472812805303,2.177052895228068,0.5346200814731462,-35.6701405843099,3.6604571371958516
283.47030524262874,16.25558486456572,4.755783343315126,3.195596519535745,-38.48387969970703,6.618947165219903,229.63555564228113,110.86434100240099,14.36502221107483,8.336638776987439,-163.57063690185547,18.594895444032847,220.87595934230245,161.94490925810865,42.28582699584961,54.92265854235567,-166.592061920166,23.972951933948913,195.09852641540954,97.70407212361464,2.197759675979614,0.49895318289418705,-36.61686248779297,3.9375055775527708
286.60456390019567,17.60194293396853,4.835775253772737,3.120964560437516,-39.038977142333984,6.8510944890626195,237.5972103782032,115.00690409982622,14.06923906993866,8.180441298294165,-163.31227835083007,18.462018838975954,235.36565434748272,175.64142025218442,39.876124423217775,50.305409241253855,-166.61146992492675,24.716659263129994,202.72155039348917,88.4693167381749,2.2564994128545126,0.5042001354373417,-38.01014704386394,4.298126237650591
287.5800753896667,19.251392775371343,4.88369770550728,2.9066180789094176,-40.68220909729004,8.312556255301947,254.3434978923052,130.80374213694927,13.647303928661348,7.848050802010641,-162.89004007873535,17.66621745073077,249.7249749466879,182.2535279928802,37.581269732360845,46.13920819555647,-166.4347127334595,25.53857535927567,210.67499587385672,80.88210374191117,2.2599210569063826,0.49607964405558125,-39.55292658996583,4.670433804251556
300.6796557997656,30.834336617877405,5.327866139149668,3.203328169820318,-42.363266980896,9.435440940313756,265.36372307937705,120.95543997178333,13.027701022977832,7.366867287989041,-162.01746490386964,17.060205022885945,263.32229384424147,181.32005287559443,35.132309232513435,42.01977820946013,-164.92005463150028,25.079268872405947,221.1362510952629,75.95113978146752,2.28757848798434,0.4774199112137284,-41.11206721954346,4.9568864542556
309.39509196265857,49.97160153684022,5.31912743401766,3.031165605313402,-44.64390729330445,11.136477308067718,270.9369731049764,123.66424398398792,12.403500943263056,6.871738172152414,-159.97210543740846,16.785308227176102,277.19932480823314,169.80716887946713,32.864160645687875,38.19594757934737,-163.1623774764557,24.584237098743266,247.35345712578317,82.8076662938162,2.6431743007230764,0.7959051395446809,-42.96609881444296,5.4236405921769215
322.06085790028624,52.29884855943107,5.233131767680408,2.859884701915299,-47.462135582528695,12.163432900439215,277.9213971166755,116.24368862049828,11.79168138940306,6.4893448859301515,-157.82468493273012,16.2679747956347,290.6975164273627,162.65925461128484,30.623423719302682,34.829838859750794,-161.15354802348787,23.800235375517634,278.15880065723866,97.58058929796513,2.6448314717605914,0.808531128891406,-44.89717765878805,5.988815092431035
325.6164495630559,56.40519958998912,5.300464543137099,2.834040141443229,-50.45771828892426,13.050386077654952,278.09450448844603,116.25718081588671,11.289961952321274,6.213175254857425,-155.72565714380283,15.821773649089378,295.9030611508139,157.74288282406164,28.362527026083352,31.473080282273937,-158.96349473481098,23.402998277905226,297.15516963694404,98.19415379606127,2.7356119233445013,0.7637942288816693,-46.8385267874405,6.430869079304962
334.02425217067673,58.96748805037389,5.300631692796777,2.6574777794968045,-53.550089160227145,13.645350202298815,298.0288024363372,121.29040477570067,10.723167295175084,5.9476337862221005,-154.2038194262487,15.366519652400479,304.5299227444812,151.84114449995417,26.44209740544523,28.520509962102476,-156.9874186988299,22.57904323018093,324.52142100311454,92.73893441678713,3.127123299267701,1.1101728198207328,-49.104292130343595,6.548171402171109
349.58270469711874,75.83581530280956,5.212248559108225,2.487615359757072,-56.541584455630215,14.210598139587725,308.267357429202,116.6051479701862,10.274289777502974,5.74821845249562,-152.13406065256916,14.818320053026607,317.8183973780826,145.28483380570552,24.822081268416333,26.17844665448156,-154.91800086459148,22.27789866328965,339.1384483386516,94.11510646362933,3.1706308173379605,1.0210211525489508,-51.28544833092415,6.635431327669512
