Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
10	10999	566.5195715427399	317.8238	124.58809	507.92114	142.51924	192.0	340.47827	0.0	340.47827	340.47827	147.0	154.1391	43.594154	187.85448	-30.445852	2.9039915	0.12630914	2.6184733	27.854427	-11.24199	-159.42813	0.2301112	0.014404114	0.25738445	0.20482603	-1.281841	0.89993256	0.7054254	6.546777	5.9604645e-08	125.12028	49.086628	182.73495	2.710771	134.06236	54.542263	199.491	2.710771	133.42046	53.01539	186.46686	1.573297	-0.6419043	8.245057	19.682081	-20.322989	6.429726	5.201119	20.322989	8.528402e-06	-0.001759935	0.09990841	0.8648046	-0.53709275	68.39301	95.175	413.02386	7.273364e-11	0.5794679	0.8278827	7.4788704	3.9473223e-13
11	11999	659.7615535259247	315.59738	65.973145	421.08234	218.33873	135.71428	405.5882	0.0	405.5882	405.5882	156.0	149.39275	44.011826	187.22621	-17.865458	1.7966084	0.18384637	2.6425836	28.343546	-9.5165415	-154.1321	0.18067256	0.013270813	0.20477669	0.15973139	-1.3932122	0.90235865	0.70367974	6.0128226	1.5646219e-06	139.3592	52.197975	191.46082	3.070111	143.08302	57.130688	202.31084	3.070111	126.50171	51.2311	177.1623	2.667152	-16.581308	7.8861217	3.756858	-29.849266	16.713919	7.601024	29.849266	0.0024244236	-0.10986196	0.067618325	0.3756858	-0.32556644	337.13065	222.24055	890.9787	5.87783e-06	2.160638	1.359669	7.2105513	5.566347e-07
12	12999	751.6092145442963	449.68912	57.090466	563.7411	371.80786	164.0	642.8597	0.0	642.8597	642.8597	200.0	146.35294	43.04536	182.91594	-23.06723	1.4100496	0.4231736	2.646326	30.2338	-12.007942	-150.68791	0.14301519	0.009028739	0.1596995	0.12957707	-1.1161332	0.92267275	0.7170706	6.503852	1.2591481e-06	205.32916	69.52749	281.1138	4.145953	181.17853	63.419376	251.90292	4.145953	149.34172	40.169033	181.52333	11.46265	-31.836813	26.55622	50.243393	-75.930855	36.003567	20.556221	75.930855	0.0077312863	-0.08916524	0.33766428	3.0978837	-0.3086214	1718.8152	1474.758	5765.494	5.9772785e-05	8.999989	8.636186	95.968834	4.3033376e-07
13	13999	841.6736905574799	413.08157	254.86748	632.0689	13.416541	137.0	523.7321	0.0	523.7321	523.7321	162.0	159.76956	48.40716	222.89513	-24.086912	2.1219923	0.99372864	2.8052766	30.321928	-11.818827	-164.36784	0.1263086	0.0014705758	0.13022302	0.124615304	-0.012984054	0.9711997	0.7599647	8.638149	2.4437904e-06	174.52434	62.684273	250.87444	4.740622	150.90274	56.63897	216.80586	4.740622	177.22185	44.876194	223.02988	26.86581	26.319101	25.955364	107.140366	-14.451125	27.965824	24.172068	107.140366	0.003232578	0.40946832	0.9160928	7.461167	-0.08373811	1366.3762	2060.2922	11479.059	1.044956e-05	25.33644	67.69985	556.6901	4.9056812e-08
14	14999	935.7086493968964	665.60016	76.40535	737.8007	527.55334	204.2	691.8114	0.0	691.8114	691.8114	212.0	183.11656	57.351566	251.62065	-37.066036	2.1577396	1.2792838	2.775432	30.977402	-16.736315	-188.14406	0.14513217	0.0072450917	0.15586928	0.13025649	0.5451448	0.98792666	0.7761327	7.459986	8.314848e-06	212.51978	72.26599	279.913	3.979928	192.113	66.992966	257.22824	3.979928	198.02678	54.181767	250.19543	4.5376463	5.9137692	17.945889	68.16883	-23.534275	14.259745	12.397066	68.16883	0.043692354	0.12826683	0.4466464	6.490447	-0.36936972	357.02762	604.8772	4646.989	0.0019090216	5.4450054	22.863531	421.25903	7.666648e-06
15	15999	1027.828731060028	737.9952	78.15601	846.64136	627.9253	225.0	826.60425	0.0	826.60425	826.60425	243.0	195.80705	60.68516	250.27454	-20.99297	2.0983016	0.9564866	2.75794	33.369114	-12.272216	-200.81163	0.15719046	0.0037605325	0.16171107	0.14897484	-0.08182153	0.95121646	0.7607053	8.197528	1.6950071e-06	222.04388	71.68393	290.6394	4.276074	208.45966	67.24754	267.75247	4.276074	202.84694	58.971317	247.43661	15.585421	-5.6127253	14.649729	32.638844	-28.177603	13.6835785	7.673128	32.638844	0.01914392	0.023940124	0.26387802	3.116204	-0.25009555	246.11726	208.09816	1065.2941	0.00036648966	2.0433874	5.982565	97.10727	2.1261174e-06
16	16999	1122.227243900299	831.4735	45.338917	862.95056	753.3559	247.0	1233.626	0.0	1233.626	1233.626	366.0	199.71474	60.748634	261.7068	-66.288185	2.0011659	0.9986814	2.785304	33.93711	-10.852455	-204.39697	0.14782998	0.0006847673	0.1490417	0.14662471	-0.002470766	0.934424	0.7637303	8.936729	8.34465e-07	266.24155	72.46371	341.01596	4.163785	248.27727	68.12833	322.03833	4.163785	225.26631	52.57253	261.68024	1.5814232	-23.010965	21.117615	27.48323	-69.80252	27.040247	15.62956	69.80252	0.057756852	-0.0750904	0.102422774	0.4572979	-0.4097949	975.4582	1027.6339	4872.392	0.003335854	3.5574007	3.2247903	15.393964	5.6461347e-05
17	17999	1217.070088148117	870.37585	66.15803	972.26984	786.9909	255.25	1128.3549	0.0	1128.3549	1128.3549	328.0	206.43146	62.976322	271.74136	-28.142597	1.8415673	1.0365515	2.7802455	33.94937	-12.947323	-211.1105	0.1528025	0.0020911903	0.15627368	0.14894745	0.0687672	0.9287265	0.7653541	8.944749	3.1143427e-06	246.46169	75.65225	314.5552	3.9913418	234.50497	72.24323	301.14322	3.9913418	222.53806	62.84736	270.2912	3.553939	-11.966927	13.446182	39.0694	-33.19679	15.692944	8.816955	39.0694	0.0013810705	-0.02933548	0.12789714	1.4674128	-0.4145819	324.00714	278.7987	1526.4181	1.9073555e-06	1.5279838	2.3588467	28.143015	9.585322e-08
18	18999	1311.8928000926971	936.23987	27.579094	972.2301	897.18915	277.0	1129.2509	0.0	1129.2509	1129.2509	323.0	211.93388	64.880424	275.2571	-20.757921	1.699113	0.98349553	2.775295	34.246883	-9.825555	-216.44473	0.15543479	0.0012591582	0.1570884	0.15291941	-0.030782837	0.9218648	0.76094216	9.342793	1.7285347e-06	268.39423	74.38883	332.05734	4.890724	257.65118	70.93785	318.87137	4.890724	232.93312	61.224247	278.42255	2.3583057	-24.718054	12.939682	3.518917	-51.490547	24.756273	12.866415	51.490547	0.16628467	-0.092270084	0.04347698	0.1445175	-0.5086824	778.4176	625.7697	2651.2766	0.027650587	2.6713562	1.9275944	8.442862	0.00048489132
19	19999	1405.9907274246216	993.75116	144.26082	1195.8134	868.3291	291.0	926.81415	0.0	926.81415	926.81415	279.0	214.67157	65.45496	281.95428	-25.760916	1.5482839	0.9803833	2.7743702	34.56982	-11.265123	-218.96323	0.14821286	0.0017331835	0.15287954	0.14600374	-0.03708544	0.91519505	0.7594995	9.513028	7.748604e-07	235.77516	72.095856	297.39148	4.1671867	224.89357	68.521484	281.2733	4.1671867	226.3942	67.718445	280.7044	0.78861916	1.5006189	9.627487	30.09226	-18.725086	7.4685564	6.257878	30.09226	0.001969236	0.00875264	0.08746484	0.78839463	-0.6692175	94.94037	140.29391	905.5441	3.877891e-06	0.6074589	1.3106605	12.404694	1.394947e-08
