Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	2.1884946823120117	18.500225	16.669497	111.7164	6.185877	21.911112	60.742584	0.8712576	62.711597	59.419106	53.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	2.588322162628174	17.70907	14.165849	67.205025	3.9594252	21.891304	60.742584	0.8712576	62.711597	59.419106	53.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	3.016226291656494	17.825142	22.95943	140.58832	5.134584	20.375	60.72522	0.67172784	61.81471	59.33523	53.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	3.48850154876709	15.418226	9.422609	55.177822	5.3764033	20.67347	60.627136	0.72425467	62.010853	59.745815	53.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	4.007239580154419	19.112518	15.365239	93.06457	6.7504177	22.533333	60.7536	0.50940776	61.215862	59.76718	53.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	106.35530090332031	178.07735	127.0079	377.7992	8.302239	98.5	46.718895	0.48430476	47.12403	45.311356	27.9	90.08574	52.432877	185.86388	-19.773634	5.817248	-0.7039948	1.9305634	12.043929	-9.660063	-96.479546	0.88405895	0.061532162	0.99970007	0.7835294	-0.18769708	0.85560596	0.6221957	4.8853135	2.771616e-06
6	6999	209.64018845558167	306.3028	58.154575	344.46793	165.78203	137.85715	344.69672	1.1589144	345.83313	341.77	161.7	182.23997	57.07797	232.1964	-33.22377	8.062502	-0.25708658	2.3845854	14.895466	-10.446392	-192.1312	0.69437635	0.050999332	0.7833629	0.6077785	-0.46164545	0.9006406	0.67005736	5.093391	2.3841858e-06
7	7999	313.3481242656708	312.25363	94.86982	431.11874	169.8902	160.5	438.55948	2.6471915	444.7119	435.36078	282.0	187.11044	58.431602	233.63641	-30.019016	5.772325	-0.4245767	2.4108622	16.76408	-11.467787	-195.7639	0.5240518	0.046236817	0.6076014	0.44808656	-0.9272352	0.863337	0.6637128	5.086974	1.7881393e-06
8	8999	416.0939817428589	364.19577	13.931651	385.3758	345.0544	152.0	61.913643	0.64293635	62.569904	60.606354	37.8	168.25476	53.226368	212.94586	-24.481745	3.1096933	-0.41811863	2.406302	18.183508	-9.060433	-175.20247	0.3870587	0.03338815	0.44795322	0.3325563	-1.3495632	0.85645694	0.66423047	5.7613373	2.682209e-07
9	9999	519.6792714595795	325.4873	106.42195	399.69287	70.81709	126.57143	613.51013	4.4906707	622.7836	607.76154	202.9	160.23099	51.96878	202.75095	-21.701403	2.6072862	-0.13105191	2.4620492	19.624771	-11.044996	-166.33151	0.29302588	0.02133321	0.33246282	0.25797412	-1.385521	0.8733921	0.6732257	5.3586946	2.3841858e-06
10	10999	622.1187353134155	359.49176	22.163298	390.9696	329.97342	133.0	428.872	1.0144812	429.79764	426.86603	156.8	156.44244	50.825993	196.12823	-22.430815	1.8511251	0.053170983	2.5480645	20.040163	-9.73786	-161.74983	0.22796194	0.016223494	0.2579041	0.20189883	-1.3958575	0.8913684	0.69341946	5.769857	2.6226044e-06
11	11999	724.8542199134827	391.79688	10.418474	408.86203	372.085	145.71428	242.5874	1.5895318	245.03142	239.69658	101.2	155.41232	50.620945	195.56741	-18.062096	1.556407	0.27423063	2.6100886	21.9146	-11.68029	-160.26581	0.18021695	0.012092298	0.20185278	0.16129428	-1.2401133	0.9179032	0.71213716	6.416439	1.3113022e-06
