Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
17	17999	1359.9117081165314	833.342	170.37454	1069.676	674.5439	277.66666	992.5116	35.159977	1033.4186	919.4302	335.4	185.55624	59.37638	242.45778	-23.670752	1.7798204	0.91583073	2.8353622	33.34634	-11.817389	-189.69412	0.12830997	0.0037206684	0.13553171	0.122774705	-0.17218927	0.91210544	0.7583829	9.4763975	2.361834e-06
18	18999	1462.9442031383514	864.0223	117.55123	1026.9573	753.979	294.33334	721.2696	16.129774	746.684	694.65936	259.7	190.46802	61.9644	257.6867	-34.24545	2.0215042	1.0516882	2.8841345	34.98466	-11.236991	-194.61743	0.12669109	0.0030464584	0.13151018	0.1227522	0.1067731	0.92055225	0.7705968	8.935251	1.9967556e-06
19	19999	1566.261875152588	1421.1458	311.2552	1732.4009	1109.8905	493.0	40.612778	0.81273466	41.95407	39.771397	31.3	201.12291	65.65328	264.95193	-30.639654	1.8945013	1.0171871	2.8699665	34.33059	-11.139664	-205.19797	0.13402823	0.0011181986	0.13517153	0.13104261	0.034735907	0.92218065	0.77439505	9.733141	1.9967556e-06
20	20999	1670.1984558105469	1170.5303	331.8219	1598.2212	789.4454	401.33334	871.6452	44.693565	919.757	794.2606	306.6	206.68456	67.248764	269.94794	-40.641235	2.3474674	1.0220842	2.8870416	33.902645	-10.589663	-210.68413	0.13645698	0.0019353414	0.13949761	0.13405204	0.04400531	0.923816	0.7788551	11.880468	7.972121e-07
21	21999	1774.1696746349335	1179.9897	547.36957	1727.3593	632.6201	405.0	1070.7008	9.053185	1085.6504	1057.2744	347.3	207.13942	66.5298	268.15112	-18.073856	1.7519	0.95806736	2.8562288	32.343643	-16.302313	-210.91797	0.13452792	0.002526525	0.13927439	0.13064237	-0.08395465	0.905074	0.76800567	9.302844	1.2516975e-06
22	22999	1878.7368323802948	1448.6406	164.1861	1612.8268	1284.4546	470.0	1747.2507	69.03528	1844.2838	1633.7347	553.7	208.31494	66.21203	269.37268	-25.961977	1.7093046	0.9811266	2.8288999	33.04205	-14.517782	-211.89984	0.12884606	0.0011078794	0.13091317	0.12679258	-0.03861815	0.895457	0.766931	10.31259	2.4586916e-06
23	23999	1983.3770129680634	2720.836	0.0	2720.836	2720.836	1000.0	1366.862	20.88455	1396.5475	1321.3467	432.8	210.55075	65.99286	273.2162	-29.495579	1.5438646	0.99236685	2.8427868	32.56044	-11.887384	-214.08258	0.12705278	0.0008516959	0.12867624	0.1252536	-0.015725704	0.88996905	0.772739	9.84993	5.2154064e-07
24	24999	2089.950487136841	3004.832	0.0	3004.832	3004.832	1000.0	2877.1975	9.6056	2894.6624	2856.9216	1000.0	216.05882	66.63501	278.9232	-21.96354	1.4795852	0.97506726	2.794601	33.167934	-9.931641	-219.51949	0.122881986	0.0017604218	0.12572224	0.12049031	-0.05216469	0.8796866	0.7608701	10.068717	3.8929284e-07
25	25999	2194.8596799373627	1433.5522	301.27795	1839.6924	1118.9463	449.66666	2494.9404	578.8714	2950.4573	1168.3438	854.7	219.93019	67.41359	282.61084	-24.087852	1.4877273	1.0018318	2.8062341	33.436096	-10.695672	-223.31676	0.12090053	0.00059396686	0.12195431	0.119723566	0.0039169053	0.8802749	0.7689298	10.269398	7.5250864e-07
26	26999	2300.3617923259735	2884.639	0.0	2884.639	2884.639	898.0	1803.7676	128.45332	2035.472	1678.6481	551.5	222.26965	67.81185	285.7517	-37.038383	1.4825771	1.0268756	2.8052254	33.45041	-11.683962	-225.53229	0.12326819	0.0018739386	0.12634356	0.1206278	0.056228917	0.87711775	0.7711388	10.722772	2.9802322e-08
27	27999	2403.7254979610443	1835.6832	550.6376	2386.3208	1285.0457	570.5	924.9203	5.8655124	934.2476	915.5143	294.8	225.37456	67.898476	287.957	-37.68036	1.4757639	1.0036923	2.79491	33.0412	-9.702885	-228.50581	0.12631683	0.0002178453	0.12699202	0.12585042	0.007669078	0.874495	0.77207744	10.969963	1.475215e-06
28	28999	2508.659084558487	2696.993	0.0	2696.993	2696.993	844.0	955.8959	13.301516	974.5434	936.95654	300.4	228.89557	68.3527	292.1683	-31.206312	1.4536506	0.9757901	2.7582223	31.755966	-12.550648	-232.03465	0.12394145	0.0014718558	0.12704186	0.12216157	-0.050342217	0.86631536	0.7655424	10.491298	2.8312206e-07
29	29999	2615.7751502990723	1829.2589	562.5382	2391.797	1266.7207	571.0	2926.4387	1.8788958	2928.3833	2922.066	1000.0	230.32906	69.32693	293.91766	-23.419727	1.3650714	1.0167049	2.7625089	34.772804	-11.228338	-233.43271	0.12435101	0.0009375407	0.1258627	0.1223669	0.03494232	0.8719113	0.7708796	10.26102	2.2351742e-07
30	30999	2719.9023756980896	1662.0543	0.0	1662.0543	1662.0543	514.0	742.93463	3.3622012	747.95276	737.1903	238.0	232.19402	69.17503	296.3626	-36.537193	1.4874446	0.9880445	2.7567139	34.148163	-11.496013	-235.10478	0.123901546	0.0006945722	0.12587717	0.12295571	-0.024855657	0.87050855	0.7713786	14.155449	1.1324883e-06
31	31999	2823.5161759853363	2366.6104	727.2628	3093.8733	1639.3477	754.5	701.64343	6.590541	711.73517	692.58405	228.8	235.14102	68.89245	297.3899	-16.035183	1.4112103	0.9971978	2.7406788	34.46888	-10.537729	-238.07938	0.123714246	0.00069368526	0.12485366	0.122088805	-0.0058058864	0.8709711	0.77069783	13.030684	1.8328428e-06
32	32999	2930.891285419464	1882.4249	0.0	1882.4249	1882.4249	601.0	2724.6716	11.362352	2739.467	2704.9165	1000.0	236.75526	68.98941	298.61252	-28.257774	1.4712983	0.97582227	2.7530465	35.571217	-11.061538	-239.46616	0.1209097	0.0015779111	0.12382387	0.118265145	-0.051112026	0.87027913	0.7747303	11.996901	5.289912e-07
