1000,-1.0513469786460865,
1000,-1.0506491938072837,
1000,-1.050622256799564,
2000,-1.050714552600766,
3000,-1.0505840042442838,
4000,-1.0507063807700885,
1000,-1.0506491938072837,
2000,-1.0507308209148014,
3000,-1.0503603343307266,
4000,-1.050718327393638,
1000,-1.0511790074442138,
2000,-1.0513248117604896,
3000,-1.051098647008099,
4000,-1.050728987982744,
1000,-1.050864761831625,
2000,-1.0501135561471748,
3000,-1.0507164443830104,
4000,-1.0508962421098185,
1000,-1.051180904459116,
2000,-1.0512900738427864,
3000,-1.050353640507568,
4000,-1.0511502278779679,
1000,-1.050483778361387,
2000,-1.0503367530015693,
3000,-1.050515563294513,
4000,-1.0509446429071554,
1000,-1.0513469786460865,
2000,-1.0505742241635239,
3000,-1.0503131288040737,
4000,-1.0506180176754238,
1000,-1.050483778361387,
2000,-1.0505033488935884,
3000,-1.0507356246927577,
4000,-1.0508928338611727,
1000,-1.0511790074442138,
2000,-1.0507991457320494,
3000,-1.050854912852719,
4000,-1.0511698087476997,
1000,-1.0518098212814793,
2000,-1.0507238966115309,
3000,-1.0507393293277134,
4000,-1.0505952764177462,
1000,-1.0518098212814793,
2000,-1.0504334703952218,
3000,-1.05060926133201,
4000,-1.0506320880438782,
1000,-1.0511913154499297,
2000,-1.0514001303135756,
3000,-1.050356742130049,
4000,-1.0506273378436761,
1000,-1.0511913154499297,
2000,-1.0501629944926492,
3000,-1.0506249390719502,
4000,-1.050628297348325,
1000,-1.0513469786460865,
2000,-1.0505742241635239,
3000,-1.0508432596461386,
4000,-1.0507862837690993,
1000,-1.0518098212814793,
2000,-1.0503227410696276,
3000,-1.0505269445899295,
4000,-1.0509594518583754,
5000,-0.9536415463218567,
1000,-1.0511790074442138,
2000,-1.0510779647573358,
3000,-1.0509234770573366,
4000,-1.0509538198209558,
5000,-0.9551530829877373,
