Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
10	10999	621.4812324047089	-90.00802	0.0	-90.00802	-90.00802	1000.0	620.2604	0.0	620.2604	620.2604	1000.0	89.93183	16.322248	136.92628	-10.25883	1.3219004	-3.4314172	2.3518047	30.351868	-14.093502	-91.77519	0.20030673	0.016406443	0.23003303	0.17323205	-11.963127	0.56995225	0.4510697	6.09307	7.8231096e-08	-2.2295768	12.909598	35.58111	-24.01986	53.11291	28.125082	89.356865	-6.077799	83.26274	14.018007	110.43425	58.488914	30.149832	38.1796	108.16435	-20.297915	38.194016	30.131567	108.16435	0.06634684	1.7606812	2.6750114	10.816435	-0.2370717	2366.6943	2773.6355	11699.527	0.004401903	140.06927	230.2205	1169.9528	6.588635e-05
11	11999	721.1455221176147	-22.49184	0.0	-22.49184	-22.49184	1000.0	532.9231	0.0	532.9231	532.9231	1000.0	64.28819	17.680393	115.96584	-9.520157	0.99184227	-2.9664927	2.5121627	29.354506	-13.907682	-65.80151	0.15091866	0.0122584645	0.17318247	0.13074507	-13.182416	0.5512787	0.4371235	6.6383877	1.937151e-07	7.925854	23.841105	66.578575	-25.77563	54.00063	16.541153	91.79885	0.35237676	69.65423	20.332945	96.76079	36.131863	15.653591	27.777365	86.16458	-32.051384	27.064428	16.856264	86.16458	0.14706157	0.56114805	1.303449	8.616459	-0.44258267	1016.61694	1200.378	7424.3354	0.021627108	35.76742	96.95935	742.43353	0.00040407802
12	12999	823.2827215194702	-18.948576	0.0	-18.948576	-18.948576	1000.0	557.6212	0.0	557.6212	557.6212	1000.0	47.34824	20.580807	101.125	-10.9846325	0.8345145	-2.3780797	2.6793199	27.609272	-13.032156	-48.67169	0.11416243	0.009095796	0.13070889	0.09923946	-13.843105	0.51996744	0.41513172	5.486889	2.9802322e-07	22.78622	18.639576	61.607895	-25.168417	54.759453	24.792013	91.18282	-2.740662	60.79432	25.301937	91.22089	21.934334	6.0348625	46.786682	83.84296	-61.5219	44.452152	15.793018	83.84296	0.4112085	0.8141306	1.8575461	8.384295	-0.711509	2225.413	1331.015	7029.641	0.16909243	72.530106	116.552124	702.9641	0.00239948
13	13999	925.261171579361	220.99214	0.0	220.99214	220.99214	1000.0	850.8146	0.0	850.8146	850.8146	1000.0	39.430023	23.143879	97.39462	-8.696701	0.792872	-1.382217	2.7928736	27.467983	-14.662844	-40.680576	0.087334014	0.006505547	0.099212825	0.07667755	-13.112382	0.4707172	0.38619667	5.4703345	5.9604645e-08	26.888227	25.396946	74.429214	-33.111515	46.43596	15.314531	72.75339	0.69177455	53.497307	27.78848	86.38437	5.5090146	7.061349	37.335087	79.22947	-51.947567	35.835987	12.631447	79.22947	0.34108672	0.5597164	1.5848827	7.922947	-0.8515097	1443.7714	1011.1022	6277.3086	0.11634014	49.521942	92.58911	627.7309	0.006202633
14	14999	1027.887657880783	153.87744	147.31868	390.72104	11.029635	346.25	440.3423	0.0	440.3423	440.3423	1000.0	37.452427	19.777027	89.3202	-10.042162	0.7596909	-0.2360683	2.71115	32.787624	-17.240005	-38.6305	0.068123154	0.0046786508	0.07665855	0.060448356	-11.366442	0.4528908	0.38340506	6.10704	2.3841858e-07	41.60223	15.102917	76.10214	-0.22987832	12.559567	23.87083	54.814533	-31.531881	62.438393	6.9039907	76.10432	35.35464	49.878822	20.984709	91.138565	6.9924097	49.878822	20.984709	91.138565	6.9924097	3.0330846	2.1663346	7.8623805	0.1460157	2928.2554	2082.1826	8306.237	48.893795	186.58322	161.39465	618.1702	1.0210016
15	15999	1129.3252489566803	324.97412	0.0	324.97412	324.97412	1000.0	907.52185	0.0	907.52185	907.52185	1000.0	38.05533	17.266527	80.31414	-9.584829	0.6715416	0.7854813	2.7949014	37.948593	-17.227337	-39.237957	0.05415644	0.0034693852	0.060434494	0.048396204	-9.363406	0.4451764	0.39172208	6.548382	8.34465e-07	53.010998	13.109471	95.931984	38.243988	7.5686836	24.465939	54.054268	-26.603611	52.117348	12.46938	75.40043	28.63303	44.54866	33.510296	83.49692	-14.535506	48.17177	28.053596	83.49692	0.15887852	3.6425266	2.7272213	7.8143325	-0.33671528	3107.5237	2235.7034	6971.735	0.025242385	244.49557	179.22693	610.63794	0.0007322491
16	16999	1231.1865265369415	344.17032	260.12344	604.29376	84.04686	543.0	269.0381	0.0	269.0381	269.0381	280.0	41.289726	17.16753	83.443115	-8.161702	0.6351328	1.7275134	2.8393614	41.767063	-17.414988	-42.46369	0.043731898	0.002520934	0.04838558	0.039597686	-7.0991044	0.45749977	0.41152003	8.769125	2.1606684e-07	83.277054	14.284375	110.229355	-1.116986	32.155407	9.638851	57.586777	-8.094677	69.78762	4.8247085	78.077774	45.243843	37.632214	8.967271	73.81387	15.631846	37.632214	8.967271	73.81387	15.631846	1.3655205	0.9533007	7.3813877	0.2781327	1496.5953	735.49426	5448.4883	244.35463	58.76785	65.86503	544.8488	4.3525276
17	17999	1331.994596004486	73.90071	14.278109	88.17882	59.6226	116.0	481.1158	0.0	481.1158	481.1158	1000.0	45.082233	16.044706	88.497345	-12.137533	0.6641596	2.7204027	2.8291771	37.1558	-15.221772	-46.28854	0.03647305	0.0016216659	0.039590087	0.033969603	-4.224017	0.45781913	0.40815657	7.1917686	2.682209e-07	60.736298	22.862629	90.501625	-3.362146	5.029281	7.9876814	24.47538	-13.873524	63.352882	13.571738	83.36421	38.039566	58.3236	13.288535	85.9559	35.64768	58.3236	13.288535	85.9559	35.64768	5.314041	1.5512004	8.513896	1.7936991	3578.2275	1606.1779	7388.4175	1270.757	326.9277	164.63869	724.86426	76.76623
18	18999	1433.6517407894135	388.39554	332.93698	759.38544	35.934578	465.0	273.13712	0.0	273.13712	273.13712	1000.0	50.652954	16.227064	91.6947	-10.260713	0.6638787	3.4277558	2.8505757	31.190918	-13.429478	-51.86087	0.032132916	0.0009872362	0.03396502	0.030655779	-1.9627546	0.45518386	0.41007456	7.1636696	1.7881393e-07	90.129135	24.764784	136.82947	33.614483	4.892798	23.522793	46.698433	-49.084282	77.114265	4.444486	87.81312	61.999573	72.221466	21.836678	123.460335	32.402912	72.221466	21.836678	123.460335	32.402912	4.302552	2.1684911	9.17617	0.6985137	5692.7803	3520.6956	15242.454	1049.9486	322.8792	183.58838	842.021	22.633877
19	19999	1535.0708787441254	295.03107	278.90573	573.93677	16.125349	511.0	421.00766	0.0	421.00766	421.00766	1000.0	54.053337	18.96656	104.09572	-9.04599	0.7397969	3.8797255	3.0285757	33.19254	-13.194907	-55.29921	0.029970646	0.00031154207	0.030654572	0.029626794	-0.42090046	0.44798595	0.40926683	8.155515	2.719462e-07	59.928337	26.91432	115.52057	-2.8577762	-11.599162	15.695598	14.931608	-61.269	65.056046	24.148281	103.08443	21.699757	76.655205	33.168755	145.59749	21.328924	76.655205	33.168755	145.59749	21.328924	5.005138	2.4749868	10.560188	1.8027275	6976.187	4905.6377	21198.627	454.92303	408.9716	284.8612	1115.1757	45.492302
