Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
17	17999	1347.403319120407	321.7509	7.919352	332.42535	310.47958	130.57143	327.99835	1.5996041	330.94827	326.3922	141.6	133.31905	38.19168	169.17879	-42.832497	1.0515385	1.0097488	2.6533217	28.558178	-12.168457	-136.31123	0.06304451	0.0004196531	0.06383736	0.062368218	0.027099319	0.87529355	0.72722	7.9147205	4.6491623e-06
18	18999	1449.5215330123901	325.18008	21.043577	341.8852	273.29605	135.0	344.80338	2.5442698	347.93744	339.74988	152.7	132.79599	38.894382	169.6458	-30.754625	0.8511439	0.8987402	2.6288846	30.910198	-10.486191	-135.5599	0.060967546	0.002579788	0.064063445	0.05617819	-0.28538674	0.85275066	0.71892744	8.360843	2.9802322e-08
19	19999	1551.4133849143982	326.92743	7.109087	342.35358	320.6252	129.75	324.74335	1.0479939	326.63992	323.56873	135.4	132.17516	38.88686	170.69432	-21.798422	0.75334996	0.9775641	2.6463845	30.487633	-11.086711	-134.81276	0.05549195	0.0005381085	0.05644228	0.054509245	-0.06485106	0.8550804	0.73313344	8.385537	2.6971102e-06
20	20999	1652.8063204288483	318.09882	18.74613	339.18515	279.78967	126.71429	327.45932	2.1708345	331.5245	324.06583	151.5	133.14099	39.119255	172.1758	-31.758131	0.7582455	0.9916998	2.7100182	29.323275	-11.962263	-135.66647	0.053580936	0.0007089127	0.055017456	0.05249403	-0.024046788	0.84344923	0.7271442	8.510738	5.9604645e-08
21	21999	1755.0057082176208	293.83008	45.857494	333.30716	205.69751	121.888885	303.95728	1.4430171	306.58615	302.2118	115.7	132.55421	40.503296	173.02863	-16.758137	0.8309247	1.0131922	2.7168949	30.667099	-14.829662	-135.01886	0.05487452	0.00054674334	0.055799086	0.053772226	0.038573984	0.84780186	0.72639257	9.986679	1.989305e-06
22	22999	1857.8479642868042	316.8254	10.7643585	336.17752	297.9625	123.0	446.43744	3.7585156	452.49622	439.0561	267.1	133.03503	41.48341	171.89502	-22.801926	0.8517266	1.0365455	2.6738772	31.537148	-11.915344	-135.43452	0.05767731	0.0011190413	0.059618425	0.054871198	0.10539798	0.8564043	0.73613155	10.431527	4.61936e-07
23	23999	1960.5561571121216	334.3539	6.7495255	345.64862	325.15308	133.57143	325.93582	0.95515585	328.00934	324.84515	134.2	131.99489	41.37836	170.47665	-30.877344	0.69229954	1.0121377	2.6222532	30.330334	-10.396371	-134.26347	0.05820482	0.00024332387	0.058763184	0.057509635	0.034647934	0.8369808	0.71684855	11.083435	5.9604645e-08
24	24999	2063.338965654373	334.86682	6.479649	344.89758	322.27142	133.75	338.97748	0.67733765	340.6666	338.17435	134.1	134.54143	42.08948	175.20221	-25.018692	0.71319354	0.9598934	2.6135786	31.152592	-12.484207	-136.81522	0.05750296	0.0009522037	0.059153274	0.0552234	-0.11485544	0.8279167	0.70624435	10.329195	4.4703484e-07
25	25999	2165.3827979564667	336.96332	7.1556215	347.29214	324.47916	131.85715	327.37198	1.2105684	329.45743	324.8753	125.8	134.46016	42.313747	174.04332	-23.511768	0.61687624	0.9523297	2.6557827	31.251637	-11.190545	-136.61728	0.052474514	0.0013569909	0.055386625	0.051170938	-0.13964954	0.82141596	0.71108884	10.691595	3.7495047e-06
26	26999	2267.7681086063385	346.27148	7.706901	359.23566	337.84418	131.125	305.35858	1.5822548	308.8436	302.78607	113.8	135.38368	42.821445	174.60217	-25.288233	0.6231304	1.0033592	2.6920118	30.675589	-12.287476	-137.53638	0.05104895	0.0005538794	0.052205455	0.05042013	0.010085408	0.8363912	0.7237828	10.406696	4.7683716e-07
