Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
17	17999	1374.9947199821472	372.65085	11.730117	386.78796	353.24423	130.42857	400.47275	2.194707	404.64197	396.9544	138.2	145.2827	46.21843	184.468	-19.315493	1.2943977	0.97864	2.7411323	24.369434	-11.623085	-148.48538	0.069487184	0.00053866574	0.07042248	0.06828782	-0.056926798	0.8939456	0.73848003	7.76588	5.9604645e-08
18	18999	1486.7371323108673	380.12827	4.4854703	385.7746	373.82404	131.5	366.59247	1.333427	368.2655	364.19086	126.8	147.31035	47.035442	187.11247	-18.670359	1.1644853	0.9832591	2.8055425	25.654598	-11.278135	-150.34877	0.067697234	0.0008223251	0.06878604	0.06633368	-0.044990554	0.8953936	0.7573	8.171599	2.0116568e-06
19	19999	1597.5078265666962	377.9022	11.377991	394.05948	362.46054	130.375	368.52014	3.310876	373.38776	360.10956	130.6	150.38219	48.104725	189.88086	-21.797802	1.2385048	1.0000824	2.8397446	25.626669	-10.055173	-153.26015	0.06769898	0.0006769408	0.06877576	0.06668711	0.00032998086	0.89746916	0.76778525	8.119246	4.7683716e-07
20	20999	1709.3034811019897	393.77805	6.9565916	403.98856	385.03918	134.85715	343.94443	1.3935777	346.33722	342.31207	123.2	151.03627	48.90522	190.5494	-15.155557	1.2843558	0.9756248	2.8448138	26.795952	-10.644573	-153.86903	0.065861955	0.00089221966	0.06768597	0.06427524	-0.06623197	0.8764277	0.76035863	8.526077	3.747642e-06
21	21999	1820.6369495391846	393.65958	4.564051	400.79083	383.868	134.5	396.95465	1.3468937	399.0906	394.35794	136.9	152.41112	49.726013	193.04753	-27.192879	1.2187542	0.98078805	2.8300014	25.231617	-11.298168	-155.19469	0.06444973	0.00077925023	0.06545091	0.06285796	-0.052811682	0.87801325	0.7646389	8.386218	9.23872e-07
22	22999	1931.594884634018	395.33585	8.463828	408.91275	382.17972	133.85715	393.4604	1.4130658	395.1248	391.4267	134.6	155.04807	50.463398	195.88947	-23.52568	1.2362434	1.0227637	2.8372688	29.197264	-11.181275	-157.75928	0.06418132	0.00027529642	0.06467277	0.0628646	0.06283339	0.88602775	0.768122	7.949938	4.4526532e-06
23	23999	2041.9927678108215	406.81223	3.9829645	413.74103	401.9014	137.0	471.88852	1.8344814	475.14868	469.7306	154.5	156.13594	51.08435	196.98807	-22.750614	1.1333232	1.0057509	2.8458343	28.604498	-10.038299	-158.75047	0.06540009	0.0003714132	0.06604242	0.06459653	0.015834078	0.89327246	0.7791398	8.587342	1.1920929e-07
24	24999	2153.469580411911	411.96777	4.8366127	422.2715	406.46768	138.625	388.94382	38.18233	410.5743	307.9678	135.2	157.21175	51.529263	198.63622	-20.577347	1.0350407	0.9922363	2.8682814	31.555927	-10.678021	-159.78397	0.0654023	0.0006825368	0.066830784	0.06451252	-0.021096969	0.8818671	0.77818775	11.4192295	2.3543835e-06
25	25999	2266.878928422928	405.24362	37.76404	425.38486	313.0587	138.0	427.43002	1.8020599	430.36633	425.03232	143.8	158.32526	52.343044	200.1925	-20.158236	1.0362511	0.9893095	2.8100333	26.60375	-12.972298	-160.77544	0.063569196	0.00063484	0.06502705	0.062723465	-0.029292515	0.87811905	0.77525115	8.962999	8.940697e-07
26	26999	2380.6144213676453	397.55746	58.860897	432.09686	253.8415	137.0	420.18634	0.9020833	421.59427	418.85886	140.8	160.41745	53.20257	204.3938	-16.401054	1.1327242	1.0014081	2.7900674	29.510292	-10.741711	-162.8667	0.06490621	0.00057195453	0.06575915	0.06346528	0.0039789276	0.87788117	0.7789849	10.815298	3.6358833e-06
27	27999	2494.4987280368805	421.02655	5.943827	430.7087	413.22574	142.71428	434.7644	1.9079156	438.82324	432.15997	145.7	161.53584	54.411243	205.08344	-16.073904	1.1730453	0.98649514	2.8146112	27.011288	-10.843784	-163.93016	0.06326847	0.00053469953	0.06385767	0.06222391	-0.03726686	0.87936157	0.78163034	8.966712	6.854534e-07
28	28999	2606.4620819091797	424.27713	4.6523237	430.6783	416.80164	143.28572	419.26422	1.411567	422.66583	417.7954	142.6	161.46054	54.73423	206.15488	-36.748047	1.1617075	0.98601836	2.8129368	29.024765	-10.820038	-163.80838	0.0611179	0.0007097322	0.06258384	0.0601128	-0.038869753	0.87681663	0.78211844	8.834714	8.34465e-07
29	29999	2717.7977583408356	407.29242	53.39583	434.77374	277.16693	141.71428	532.05316	9.633777	557.32263	523.86334	164.0	162.35718	55.055386	211.61723	-28.623074	1.1046336	1.0260155	2.8619356	26.810413	-11.530806	-164.63026	0.062591605	0.0012389941	0.064363435	0.06086182	0.07236988	0.8947429	0.7975044	12.336706	7.1525574e-07
30	30999	2828.3817949295044	450.5161	38.395393	505.39792	386.78238	154.83333	477.8786	2.7843993	483.1485	474.16638	159.0	165.58846	56.707676	225.92136	-20.818018	1.2805473	1.2046192	2.8677452	26.904339	-13.2368765	-167.93791	0.07068805	0.005385728	0.080714494	0.06335368	0.5387633	0.9040781	0.8160687	10.470376	5.5134296e-07
31	31999	2936.657751083374	518.6776	22.443645	559.8821	491.58456	169.83333	64.8763	1.4237	67.51537	63.621834	39.6	172.6018	61.43229	228.51178	-36.475933	1.4943862	1.0501382	2.7352192	28.017994	-13.057575	-175.06975	0.08460295	0.0009099341	0.08577733	0.080742925	0.124970086	0.89316237	0.80055165	9.379581	1.0840595e-06
32	32999	3047.5347356796265	536.5787	17.33027	565.725	511.60947	170.5	316.50275	1.7168806	318.66595	313.05804	120.3	173.27696	60.50742	224.97679	-26.061209	1.3286165	0.9704773	2.7456667	25.76114	-10.191843	-175.70181	0.08253457	0.0016144371	0.085779496	0.08101474	-0.0731576	0.87369716	0.7959652	9.754238	1.1920929e-06
33	33999	3157.4708371162415	507.3655	59.526463	608.368	404.8091	163.16667	552.8411	4.552182	558.16235	545.7742	177.7	177.118	62.37982	230.77357	-19.4945	1.3827475	0.9942351	2.780762	26.242218	-13.056204	-179.56778	0.083457	0.0011598325	0.08514573	0.08133095	-0.014357956	0.88053554	0.80145943	9.085536	2.9802322e-07
34	34999	3266.5580093860626	615.73236	46.633907	670.57544	546.7569	191.2	241.18002	1.3996003	242.2649	237.44643	100.7	176.52892	61.806774	229.76852	-23.367233	1.3552524	1.026755	2.8035	26.115452	-13.850569	-178.88087	0.08020761	0.0014099728	0.08418072	0.07809666	0.066815935	0.8976395	0.80019116	9.3006735	1.66893e-06
35	35999	3375.1243138313293	646.30206	30.811848	675.43646	588.12354	200.2	642.6513	2.3941414	647.4321	639.68054	200.5	183.07935	64.69157	239.97426	-18.642551	1.2784572	1.066751	2.7326732	27.802975	-11.584645	-185.53038	0.08983179	0.0022121854	0.092258506	0.08421364	0.16221043	0.9009274	0.79523754	10.3010235	5.453825e-06
