Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	1.4131817817687988	21.867727	16.199148	88.12324	7.9728937	24.55	9.207225	0.22911604	9.605422	8.813919	38.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	1.7298352718353271	21.89739	19.323784	91.71036	6.8197417	24.390244	9.207225	0.22911604	9.605422	8.813919	38.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	2.0458643436431885	17.015001	11.203094	63.820225	6.1277585	21.404255	9.224884	0.3388997	9.823537	8.630303	38.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	2.3620588779449463	18.893555	13.409136	77.89592	6.398895	21.644444	9.196348	0.17021175	9.584463	9.011229	38.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	2.8036465644836426	14.7635565	9.767971	51.274837	5.4382825	20.22449	9.321554	0.15404956	9.58349	9.060116	38.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	96.88119339942932	126.97596	55.444805	202.42311	16.891287	69.28571	217.67351	1.6980292	219.37408	214.57465	94.3	93.65983	55.157066	188.08829	-26.00766	7.478093	-0.729588	1.8415774	12.626249	-9.7643175	-100.24322	0.88349867	0.0623881	0.99970007	0.7802022	-0.19453195	0.8270808	0.602328	4.889861	1.2144446e-06
6	6999	189.60555982589722	175.62932	60.60386	261.81354	58.688595	90.454544	177.30626	2.9416618	183.01587	173.51747	113.3	179.89856	52.186085	225.12943	-21.163597	13.11724	-0.36627716	2.164353	17.302103	-13.721217	-189.51053	0.6868292	0.053122155	0.7800087	0.59854716	-0.5162179	0.8378668	0.6434737	5.5592785	8.523464e-06
7	7999	283.74319100379944	308.65253	89.09533	363.2039	93.46548	147.85715	141.60841	1.8720809	144.40222	139.08849	91.4	184.2407	59.0176	225.36293	-25.397831	7.327032	-0.18255173	2.2778914	19.160437	-11.786305	-193.07956	0.52837527	0.039702024	0.59839374	0.46072343	-0.75847876	0.84901756	0.6606916	5.4010735	3.0510128e-06
8	8999	378.82587218284607	279.79346	112.086685	391.88013	167.70676	221.5	358.06558	1.3969277	360.16434	355.70657	171.5	166.08495	51.781853	220.23827	-29.449835	4.850485	-0.23385273	2.2586284	19.172161	-11.890687	-173.14282	0.4006991	0.033675093	0.46059087	0.34401655	-1.1357867	0.820425	0.6459671	5.716046	7.4505806e-07
9	9999	570.7127001285553	426.96228	345.83035	1181.7859	113.09268	262.33334	1018.262	0.52402586	1019.534	1017.5901	1000.0	154.11877	44.140152	189.33766	-30.982903	3.0689816	-0.092282325	2.2948248	20.130093	-11.731942	-159.95058	0.299336	0.022804907	0.34390873	0.26438627	-1.3067724	0.8274523	0.658527	5.904891	1.4901161e-07
