Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.9215052127838135	1.386403	5.3611794	23.264122	-9.926074	19.431372	-5.1276674	0.0	-5.1276674	-5.1276674	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.518865	2.6418953	-0.62348235	-14.6474695	-18.33335	9.998027	-0.62348235	-50.149845	-0.39691672	0.38977605	0.30489784	-1.8745966	17.936432	9.885378	49.609005	-0.058248114	17.936548	9.885169	49.609005	0.058248114	0.84380317	0.28562704	1.0155325	-0.0058248113	419.43634	364.8964	2461.0535	0.0033928428	17.254183	10.195684	49.44481	0.00033928428
1	1999	2.7258143424987793	0.9367268	5.439903	22.75925	-10.579445	19.23077	-5.1276674	0.0	-5.1276674	-5.1276674	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.518865	2.6418953	-0.62348235	-14.6474695	-18.33335	9.998027	-0.62348235	-50.149845	-0.39691672	0.38977605	0.30489784	-1.8745966	17.936432	9.885378	49.609005	-0.058248114	17.936548	9.885169	49.609005	0.058248114	0.84380317	0.28562704	1.0155325	-0.0058248113	419.43634	364.8964	2461.0535	0.0033928428	17.254183	10.195684	49.44481	0.00033928428
2	2999	3.5185768604278564	1.3099672	6.0050235	25.182747	-9.828989	20.265306	-5.2488656	0.0	-5.2488656	-5.2488656	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.4587593	2.594958	-0.62453437	-13.005798	-17.966503	9.787027	-0.62453437	-48.301296	-0.36577907	0.35755277	0.3948453	-1.7540876	17.600725	9.70755	48.08164	0.1709718	17.600725	9.70755	48.08164	0.1709718	0.8467111	0.2856621	1.0170827	0.01709718	404.02206	359.28775	2311.844	0.029231356	16.962454	10.024781	47.862984	0.0029231356
3	3999	4.309396982192993	3.1252918	6.0531964	19.200264	-8.689586	21.652174	-5.2246065	0.0	-5.2246065	-5.2246065	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.4538126	2.5617776	-0.14576314	-14.364871	-17.719948	9.585512	-0.14576314	-45.91221	-0.38930848	0.39106694	0.48937833	-1.9327459	17.33064	9.46892	45.07934	-0.37232473	17.33138	9.467562	45.07934	0.21197557	0.8437562	0.2865016	1.0277699	-0.037232473	390.01157	338.50833	2032.1471	0.044933647	16.660402	9.766671	44.44093	0.0044933646
4	4999	5.103064298629761	1.3481412	4.9101706	16.675882	-5.997523	20.06	-5.2811294	0.0	-5.2811294	-5.2811294	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.502245	2.7563524	-0.76910615	-16.098715	-17.951351	9.974399	-0.76910615	-55.001865	-0.36168432	0.3882651	0.39784682	-1.8875238	17.589664	9.854741	54.616383	0.48866278	17.589664	9.854741	54.616383	0.48866278	0.84433776	0.28354096	1.0242722	0.04886628	406.51224	379.47647	2982.9492	0.23879132	16.91388	10.18284	54.233604	0.023879131
5	5999	100.71377205848694	70.126884	127.278	362.69058	-7.391794	137.42857	5.0421925	0.0	5.0421925	5.0421925	110.0	111.09311	66.23806	214.16386	-20.447077	14.621097	-1.9879425	2.9619575	38.814873	-11.977756	-120.68458	0.8734086	0.0700078	1.0013399	0.7585013	-0.6616371	0.8364615	0.63597345	21.290579	3.7252903e-07	-9.341308	14.363613	34.921852	-44.092323	9.974322	22.38055	76.80122	-27.538631	176.96928	53.09418	213.67053	-7.828074	166.99495	47.823826	222.03809	-6.6372223	167.05264	47.621918	222.03809	0.16861664	12.038154	6.7214003	21.27201	-0.6637222	30174.436	11740.637	49300.91	0.02843157	2211.7732	1424.7744	4524.9844	0.0028431572
6	6999	196.33996272087097	42.593716	37.095573	103.13084	-5.2950897	140.16667	710.7763	0.0	710.7763	710.7763	588.0	201.29637	58.636436	239.57915	-34.434883	25.346617	-1.3930005	3.6907284	31.466938	-13.523272	-213.87003	0.66187936	0.05344745	0.7582935	0.5733022	-1.8201171	0.8449783	0.64178544	6.9053593	1.1324883e-06	72.35988	40.03984	131.41798	-12.939821	108.672844	51.258816	169.02719	-4.379559	223.22333	32.722294	237.57188	-19.36097	114.55048	47.011345	231.94907	-18.621065	114.71178	46.616413	231.94907	2.0194933	2.5991757	4.4630766	23.194906	-1.8621066	15331.88	12275.074	53800.367	4.078353	447.23508	921.1302	5380.0366	0.4078353
7	7999	292.0630428791046	292.70224	128.80428	446.6646	56.59399	230.2	385.76782	0.0	385.76782	385.76782	252.0	193.34914	58.60489	236.5589	-50.732994	19.15952	-1.0467868	3.9157681	36.42912	-11.878316	-204.05379	0.50027114	0.040126752	0.5731391	0.43418568	-2.8063877	0.8258591	0.6488205	6.679699	1.4901161e-07	85.494316	42.2688	160.79349	-14.446012	126.75237	53.79589	204.10097	-11.669985	208.48405	16.837225	228.14883	41.159943	81.731705	46.164917	216.84999	8.88683	81.731705	46.164917	216.84999	8.88683	2.0302973	4.2777867	21.685	0.045183945	8811.2705	9703.646	47023.918	78.97576	310.29575	767.59033	4702.392	0.40154207
8	8999	387.2763514518738	235.19308	89.809975	327.35678	86.67616	235.75	452.9598	0.0	452.9598	452.9598	287.0	181.13895	52.245026	237.45428	-48.73697	13.190052	-0.8092445	4.0086927	41.57119	-13.9766445	-190.37033	0.37828314	0.030610131	0.43406108	0.32811353	-3.7052846	0.8226659	0.6539687	9.824703	8.940697e-08	100.0005	33.212273	150.0284	2.6364698	121.01207	44.250385	185.08322	2.6364698	207.31596	18.544695	236.21631	23.002764	86.303894	49.795902	226.93138	12.699454	86.303894	49.795902	226.93138	12.699454	1.5457067	3.074106	22.693138	0.10721024	9927.995	11115.168	51497.85	161.27614	240.37727	627.1924	5149.785	2.0731945
9	9999	483.0215759277344	249.35057	109.491806	397.3635	24.73589	143.14285	14.284006	0.0	14.284006	14.284006	65.0	178.02106	47.739468	283.5702	-31.697077	13.094634	-0.30430767	4.258342	44.54226	-11.839556	-186.23875	0.28749126	0.021974646	0.32802302	0.25200298	-4.1093874	0.83085436	0.68068004	11.289741	3.2782555e-07	67.14517	53.447796	139.18993	-42.132416	54.046482	62.307533	131.85378	-93.13783	215.36084	36.670067	281.55057	-15.372102	161.31436	63.306477	312.25784	-11.905307	161.33765	63.24714	312.25784	0.8469706	4.94248	5.910727	25.396578	-1.1905307	30030.033	21612.008	97504.95	0.71735924	1021.34235	1340.094	6449.862	0.05618727
