1000,20.319174,
2000,20.741886,
3000,20.385006,
4000,20.66044,
5000,21.005127,
6000,200.96707,
7000,302.85156,
8000,81.68678,
9000,459.03232,
10000,590.1113,
11000,2638.474,
12000,3134.9326,
13000,532.3436,
14000,722.09265,
15000,1326.831,
16000,706.0714,
17000,1109.4756,
18000,1546.3608,
19000,889.18054,
20000,969.10236,
21000,1070.5212,
22000,1190.3738,
23000,612.7921,
24000,2910.317,
25000,1102.3234,
26000,2787.0405,
27000,3001.8438,
28000,900.47266,
29000,2910.1648,
30000,1067.6289,
31000,1046.3481,
32000,2845.0942,
33000,2910.8423,
34000,1030.9819,
35000,2887.4387,
36000,2800.4878,
37000,2857.9954,
38000,2810.5886,
39000,2957.7476,
40000,2979.9443,
41000,2867.0745,
42000,2953.9897,
43000,2947.4192,
44000,3156.5444,
45000,2812.8335,
46000,3025.6035,
47000,2745.763,
48000,2985.4016,
49000,1553.0245,
50000,2697.4722,
51000,2843.693,
52000,1008.1867,
53000,1001.6417,
54000,3043.2163,
55000,2617.6428,
56000,1455.5112,
57000,3082.42,
58000,3113.934,
59000,3098.7166,
60000,1207.2429,
61000,1961.179,
62000,1810.4795,
63000,2247.953,
64000,3023.7153,
65000,778.7117,
66000,940.96875,
67000,3011.9302,
68000,2030.6475,
69000,3100.3843,
70000,2060.7827,
71000,1710.8291,
72000,3030.5884,
73000,3093.3215,
74000,3079.6013,
75000,2752.5354,
76000,1604.8945,
77000,3096.6455,
78000,3053.3228,
79000,3120.6157,
80000,3033.9954,
81000,3018.4556,
82000,2659.3594,
83000,3094.3098,
84000,2251.8894,
85000,3104.0957,
86000,1752.0814,
87000,3002.0903,
88000,3038.524,
89000,2592.285,
90000,3020.7107,
91000,3067.5366,
92000,3049.0957,
93000,3082.483,
94000,3012.3926,
95000,1656.2004,
96000,3038.4907,
97000,1973.7279,
98000,1079.495,
99000,1099.9086,
100000,3036.2651,
