Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.9405748844146729	18.531794	9.892109	51.2227	6.696097	22.83721	82.33429	0.0	82.33429	82.33429	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.089068	16.168936	73.82158	-4.715303	18.965939	19.664352	91.08922	-3.0096931	1.290176	0.3860283	2.1873763	0.3612755	-17.675762	19.649206	3.8235824	-89.92277	17.958971	19.390701	89.92277	0.013992491	-0.6539515	0.39477897	0.38235825	-0.99255496	698.5239	1383.7527	8086.1035	0.0001957898	16.592325	19.456676	88.77125	1.957898e-05
1	1999	2.772101640701294	20.151817	12.101919	65.203514	6.7891846	24.195122	66.35926	0.0	66.35926	66.35926	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.612183	27.132755	97.44372	-5.0658526	32.082146	31.696533	117.42865	-1.8411542	1.8586152	0.2990939	2.7557807	0.9679577	-30.223534	31.616896	3.2414298	-115.071236	30.430555	31.41769	115.071236	0.0060663284	-0.7255312	0.35723525	0.32414296	-0.98919636	1913.0897	3118.0732	13241.39	3.680034e-05	28.715694	31.273031	113.17324	3.6800338e-06
2	2999	3.6006104946136475	17.428719	10.798082	63.36147	5.468231	21.723404	30.191065	0.0	30.191065	30.191065	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.65276	19.365404	101.99753	0.11489791	22.535221	22.826958	119.29648	0.11489791	1.4536595	0.284881	2.4977446	0.5762425	-21.08156	22.785334	1.2049197	-117.840355	21.12707	22.743141	117.840355	0.05936501	-0.7490327	0.31218737	0.12049197	-0.98879164	963.6036	2307.0835	13886.35	0.0035242047	19.664051	22.749016	116.42112	0.00035242047
3	3999	4.458711624145508	18.014074	11.071851	50.493156	5.792627	20.6875	11.037652	0.0	11.037652	11.037652	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0653152	4.410964	29.090076	0.16215892	8.248917	6.01561	39.810844	0.16215892	2.0053616	0.24498141	2.6428528	0.914571	-6.243555	6.0395656	1.6484065	-38.115505	6.4741945	5.7916436	38.115505	0.002975875	-0.4778697	0.35119438	0.16484064	-0.9574151	75.45833	142.59564	1452.7916	8.855832e-06	4.8262553	5.6327767	36.49236	8.855832e-07
4	4999	5.321163177490234	20.566559	16.361631	99.95171	5.1732616	23.32558	9.884019	0.0	9.884019	9.884019	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.7255545	4.915868	25.880985	0.108852446	8.960535	6.3716426	31.911411	0.108852446	2.0385787	0.20989391	2.7254155	0.91924053	-6.921956	6.355701	1.4615867	-29.882437	7.1275043	6.124303	29.882437	0.0014810016	-0.50582856	0.34914318	0.14615867	-0.9513894	88.3084	139.14146	892.9601	2.1933658e-06	5.437375	5.944938	27.98247	2.1933657e-07
5	5999	101.91985869407654	140.34796	72.21868	277.3602	10.370274	77.75	164.51555	0.0	164.51555	164.51555	81.0	93.25436	52.849903	182.25615	-18.695545	7.338946	-0.8416197	1.8246467	12.311498	-9.631794	-99.465546	0.8808898	0.06431527	0.99970007	0.7726788	-0.2180753	0.8207712	0.605259	4.357694	9.23872e-07	75.49482	34.74922	127.90527	2.0925984	85.182274	40.032715	146.66965	2.0925984	173.58977	8.083713	182.3776	79.29099	88.40749	37.028286	168.25008	26.083017	88.40749	37.028286	168.25008	26.083017	2.2951908	3.53875	16.825006	0.17866148	9186.979	7102.0977	28308.086	680.32385	302.76144	570.74493	2830.8086	4.660031
6	6999	198.59659600257874	207.46826	39.716755	282.86676	141.09846	96.27273	213.65964	0.0	213.65964	213.65964	97.0	186.97978	47.356194	231.4026	-26.332968	12.226725	-0.42841724	2.2377386	17.826998	-10.909643	-196.392	0.6798158	0.050058607	0.7724693	0.597218	-0.5469407	0.8525395	0.64513403	4.7801695	1.013279e-06	92.46943	39.80655	141.84343	2.5003557	99.69837	44.712955	158.79417	2.5003557	193.49445	54.349422	228.98502	-2.9119534	93.79607	29.969257	142.9454	-17.341856	94.05557	29.144588	142.9454	0.053391308	1.2607677	1.0123378	5.3943176	-0.8643115	9695.857	4759.837	20433.389	0.0028506317	130.39561	115.88595	578.7245	9.589315e-05
7	7999	294.4410791397095	248.25192	24.162998	292.28745	224.54695	109.125	168.94994	0.0	168.94994	168.94994	129.0	196.11487	59.448982	236.74731	-23.944456	9.4524555	-0.22122714	2.3845294	18.386412	-10.873637	-205.06676	0.526868	0.039025668	0.59705615	0.46116063	-0.78347975	0.8819362	0.6629294	5.3531337	2.5629997e-06	61.876907	30.480106	114.09924	1.1557747	75.53712	37.3916	140.61809	1.1557747	217.43288	8.647001	230.22177	178.77054	141.89577	32.025455	212.41272	80.44854	141.89577	32.025455	212.41272	80.44854	3.672182	4.7882137	21.241272	0.573001	21160.04	9422.099	45119.164	6471.968	641.0694	987.0038	4511.9165	46.097095
8	8999	390.97527599334717	392.22476	237.05273	714.0717	150.0492	273.0	1054.8027	0.0	1054.8027	1054.8027	1000.0	174.85567	60.44826	229.82935	-26.495495	6.754215	0.020806411	2.3715298	17.923359	-10.483147	-182.315	0.4106913	0.028417177	0.4610583	0.3620988	-0.8727148	0.8789552	0.66983134	5.4395294	1.4156103e-06	108.79717	23.33491	138.93808	2.449086	129.21802	30.470268	169.45311	2.449086	134.22899	40.894623	206.99414	13.618525	5.010957	17.800735	41.679108	-16.971922	13.534534	12.601278	41.679108	0.039256845	0.042305145	0.16140078	1.4676684	-0.17485705	341.97586	548.7232	1737.1482	0.0015410997	2.3908553	3.525781	21.540506	1.1746526e-05
9	9999	487.1077220439911	712.52795	352.18713	1064.7151	360.34082	593.5	247.87933	0.0	247.87933	247.87933	106.0	151.408	46.652447	207.12943	-32.45663	3.3224967	-0.303102	2.3063552	18.16079	-10.897845	-157.05948	0.30981725	0.029905217	0.361998	0.26029098	-1.5433979	0.835167	0.6474002	5.475007	5.9604645e-07	105.271225	44.837765	153.58533	2.479374	111.337555	49.471138	167.56735	2.479374	123.775604	49.390263	170.89629	-1.6887265	12.438044	9.562413	35.275505	-8.577412	12.808402	9.060326	35.275505	0.02251717	0.13339908	0.16285944	0.9664237	-0.67045516	246.14467	293.77075	1244.3613	0.00050702295	2.8853517	3.7950125	19.105717	2.0676558e-05
