Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	1.400263786315918	21.867727	16.199148	88.12324	7.9728937	24.55	9.207225	0.22911604	9.605422	8.813919	38.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	1.7386081218719482	21.89739	19.323784	91.71036	6.8197417	24.390244	9.207225	0.22911604	9.605422	8.813919	38.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	2.1012110710144043	17.015001	11.203094	63.820225	6.1277585	21.404255	9.224884	0.3388997	9.823537	8.630303	38.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	2.495828866958618	18.893555	13.409136	77.89592	6.398895	21.644444	9.196348	0.17021175	9.584463	9.011229	38.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	2.9334092140197754	14.7635565	9.767971	51.274837	5.4382825	20.22449	9.321554	0.15404956	9.58349	9.060116	38.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	96.19371461868286	126.97596	55.444805	202.42311	16.891287	69.28571	217.82153	1.6893302	219.55937	214.73167	94.3	93.65423	55.154427	188.08829	-26.00766	7.492816	-0.72952366	1.8415018	12.626249	-9.7643175	-100.240036	0.88349867	0.062388096	0.99970007	0.7802031	-0.194516	0.8270771	0.60227513	4.889861	1.2144446e-06
6	6999	190.5919704437256	165.20766	59.07309	236.77472	69.01735	87.833336	134.8667	0.9280186	135.85838	133.72884	77.5	179.72702	53.819103	225.73354	-23.715384	10.950575	-0.34301713	2.1904402	15.431053	-10.590151	-189.32103	0.6870424	0.05227127	0.7800094	0.6012073	-0.5040216	0.8453367	0.6442328	5.721545	4.053116e-06
7	7999	286.6721441745758	197.6823	92.624596	377.08167	107.159615	117.375	481.45786	2.4487305	485.0434	477.08008	439.2	180.9221	58.348343	225.54945	-45.373306	9.975551	-0.18465745	2.304421	20.461887	-9.975526	-189.58286	0.5285008	0.04029917	0.6010528	0.4624778	-0.7550271	0.83652604	0.6574955	5.744924	1.0579824e-06
8	8999	384.59380435943604	288.1734	65.1267	353.3001	223.0467	241.5	1024.3042	0.5833412	1025.2555	1023.36237	1000.0	163.11484	48.170956	208.03574	-30.506649	5.5191803	-0.090209365	2.2888014	21.558582	-11.632068	-170.11975	0.40740752	0.031554516	0.46236056	0.35211626	-0.9872294	0.85013753	0.66329473	5.7558894	2.9802322e-07
9	9999	482.49341678619385	480.42365	165.66016	806.6791	371.1262	296.4	1017.1546	0.5181362	1018.43524	1016.4553	1000.0	149.97224	39.11304	183.9336	-33.6396	3.0514388	-0.29485932	2.2921126	21.817297	-11.42162	-155.50706	0.30136633	0.027516179	0.35200506	0.25661376	-1.5582557	0.81184584	0.6458691	5.5160985	1.5869737e-06
10	10999	579.3504705429077	307.47086	30.01842	363.35312	257.36288	136.625	325.38153	0.39428306	326.17203	324.7893	141.0	144.47556	38.555363	177.66023	-44.6742	2.2308707	0.034993663	2.3858063	22.389977	-12.296795	-149.4662	0.22619571	0.015377029	0.25653905	0.20127034	-1.4263961	0.84007806	0.6694495	5.6140394	1.1920929e-07
