Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	1.4610517024993896	18.531794	9.892109	51.2227	6.696097	22.83721	47.272575	0.66995394	48.6391	46.31941	50.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	1.8232181072235107	20.151817	12.101919	65.203514	6.7891846	24.195122	47.272575	0.66995394	48.6391	46.31941	50.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	2.1862266063690186	17.428719	10.798082	63.36147	5.468231	21.723404	47.385536	0.84493065	49.07926	46.138054	50.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	2.5435731410980225	18.014074	11.071851	50.493156	5.792627	20.6875	47.49043	0.9026875	49.102757	46.253006	50.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	3.0293326377868652	20.566559	16.361631	99.95171	5.1732616	23.32558	47.594963	0.88666356	49.293304	45.661358	50.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	95.70901083946228	129.50018	47.50398	209.99675	10.283395	73.0	165.50131	1.3048135	166.92014	162.01651	88.1	94.82443	54.44247	184.17729	-18.680502	7.067719	-0.7614503	1.8530172	12.309938	-10.278397	-101.19545	0.8833864	0.0624228	0.99970007	0.77871925	-0.19986296	0.8343967	0.61140823	4.8000307	3.5762787e-07
6	6999	189.62454080581665	152.41824	49.216	245.89413	63.393036	91.545456	187.53238	53.13571	276.00253	143.33443	105.6	181.60278	47.256054	220.67831	-29.60409	14.846468	-0.45825505	2.1987019	14.655834	-10.396893	-190.92041	0.68234473	0.054052312	0.7785067	0.59351784	-0.5593186	0.85082835	0.64162284	5.366851	2.3841858e-07
7	7999	287.20894622802734	363.93796	256.85696	726.22784	159.929	300.33334	1042.1141	0.4835621	1043.1653	1041.5641	1000.0	175.88977	51.541943	219.8379	-40.95878	11.653754	-0.29784322	2.4377296	19.753418	-13.720793	-184.09581	0.5220951	0.040559024	0.59335476	0.45288375	-0.84972775	0.8496927	0.66705745	5.695571	1.0281801e-06
8	8999	380.9119782447815	350.35764	29.19606	411.30603	325.7439	168.16667	314.55463	2.031645	318.57242	311.74863	136.3	170.97006	40.221954	197.69675	-35.060326	6.7836785	-0.3026092	2.3198006	19.96796	-9.892425	-177.86345	0.39331463	0.0324658	0.45275554	0.340632	-1.2156769	0.819027	0.64226675	5.199545	6.67572e-06
9	9999	570.2413384914398	304.3293	55.610966	383.25244	221.97772	138.14285	369.13794	1.107596	370.50693	367.6985	183.6	165.3328	45.411705	198.23346	-24.075813	5.011426	-0.13191307	2.366372	19.757046	-10.717451	-171.39763	0.299036	0.022877187	0.34054312	0.26076633	-1.367538	0.8348814	0.65412235	5.242465	1.2516975e-06
