Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	1.3736157417297363	21.867727	16.199148	88.12324	7.9728937	24.55	9.207225	0.22911604	9.605422	8.813919	38.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	2.650524377822876	21.89739	19.323784	91.71036	6.8197417	24.390244	9.207225	0.22911604	9.605422	8.813919	38.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	4.40162205696106	17.015001	11.203094	63.820225	6.1277585	21.404255	9.224884	0.3388997	9.823537	8.630303	38.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	6.663474798202515	18.893555	13.409136	77.89592	6.398895	21.644444	9.196348	0.17021175	9.584463	9.011229	38.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	9.392114639282227	14.7635565	9.767971	51.274837	5.4382825	20.22449	9.321554	0.15404956	9.58349	9.060116	38.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	113.98666763305664	160.62366	60.86803	223.98141	16.992573	81.083336	198.71301	1.0054005	200.08261	197.07828	87.6	96.004585	56.845478	196.09464	-17.634548	5.8600907	-0.7119982	1.8226155	13.864113	-10.29748	-102.686005	0.88393724	0.06170322	0.99970007	0.7821803	-0.19022405	0.8296163	0.6055364	4.6388893	1.206994e-06
6	6999	219.48043751716614	184.40247	45.680553	284.51242	107.76109	89.416664	224.39438	0.95394284	225.98941	223.33911	110.3	186.9028	56.52629	233.45529	-36.01386	11.867584	-0.36528468	2.2515812	18.021185	-9.669855	-196.83316	0.6875315	0.053365078	0.7819753	0.5993328	-0.51346046	0.8659084	0.6564799	6.7697964	1.2181699e-06
7	7999	325.4761893749237	217.51314	66.93465	284.91553	54.157562	107.55556	138.1861	1.198678	140.12411	135.97768	88.2	191.01106	60.338455	237.28491	-28.886932	7.453793	-0.25233695	2.346115	18.160072	-12.356837	-199.96677	0.5251843	0.04152841	0.5991703	0.45668513	-0.8089122	0.86536956	0.66631305	5.829922	1.6018748e-07
8	8999	437.99994254112244	226.66748	97.86961	344.8774	105.21269	144.0	1030.8773	0.5797337	1031.8289	1029.9423	1000.0	161.90778	54.658264	221.24092	-25.791576	6.3858933	-0.19505718	2.3997931	20.735767	-11.932642	-168.88576	0.39783087	0.03217389	0.45656252	0.34615767	-1.1001939	0.866437	0.6784841	6.028908	1.5348196e-06
9	9999	544.4176180362701	471.87305	297.09134	824.84314	101.214645	387.25	235.24309	1.7268558	239.10823	232.47354	104.2	165.58237	40.28365	229.50935	-37.029995	6.4076357	0.30923796	2.3898537	19.797762	-12.473646	-172.14032	0.31024274	0.017432703	0.34607005	0.28888193	-0.7926928	0.91293854	0.6928177	5.977004	3.4868717e-06
10	10999	657.0902972221375	262.12537	14.576618	286.26453	243.80046	112.75	1002.31165	0.29593322	1002.7587	1001.8843	1000.0	171.05875	52.602375	230.35449	-54.697758	4.4532647	0.31288666	2.38812	20.024849	-10.662617	-177.36072	0.26188427	0.019288307	0.28887358	0.22606514	-0.93607646	0.91028684	0.70316344	6.6111774	8.34465e-07
11	11999	765.836040019989	723.7197	389.5458	1113.2655	334.1739	549.0	278.6244	1.1432725	280.72772	276.0623	120.0	139.66689	38.69478	191.39557	-20.821049	2.0588896	-0.05429314	2.3837235	21.306175	-11.408653	-144.04337	0.19250606	0.019792166	0.22599733	0.15988588	-1.7570807	0.8925643	0.6950351	6.2480874	6.5267086e-06
