Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	1.4636197090148926	18.500225	16.669497	111.7164	6.185877	21.911112	60.742584	0.8712576	62.711597	59.419106	53.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	1.833266258239746	17.70907	14.165849	67.205025	3.9594252	21.891304	60.742584	0.8712576	62.711597	59.419106	53.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	2.20119571685791	17.825142	22.95943	140.58832	5.134584	20.375	60.72522	0.67172784	61.81471	59.33523	53.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	2.570568323135376	15.418226	9.422609	55.177822	5.3764033	20.67347	60.627136	0.72425467	62.010853	59.745815	53.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	3.0679807662963867	19.112518	15.365239	93.06457	6.7504177	22.533333	60.7536	0.50940776	61.215862	59.76718	53.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	94.66131138801575	178.07735	127.0079	377.7992	8.302239	98.5	54.277596	0.89525306	55.906605	52.566914	33.1	90.077705	52.426487	181.34268	-19.773634	5.800706	-0.7040346	1.9308784	12.043929	-9.660063	-96.47473	0.88405895	0.061532166	0.99970007	0.78352886	-0.18770678	0.8556164	0.6222187	4.8853135	2.771616e-06
6	6999	188.2618908882141	248.92462	104.589386	346.44138	67.36995	116.125	309.57416	1.220948	310.87695	307.6406	141.7	180.90439	54.741146	232.41629	-38.653694	8.983048	-0.25957865	2.3659146	15.546335	-10.647099	-190.73228	0.69378287	0.050924726	0.78336126	0.6078803	-0.46228632	0.9002187	0.6693562	5.070915	4.4703484e-07
7	7999	282.16191267967224	261.50516	118.70723	379.41675	66.18163	137.57143	355.0696	2.3121092	357.99915	350.81607	172.4	188.38985	58.266064	233.16643	-29.764212	7.4948163	-0.37715134	2.4503155	17.347633	-10.050878	-197.1518	0.52608764	0.045861345	0.60771626	0.45073178	-0.89171576	0.8724447	0.6706578	5.1826663	1.6093254e-06
8	8999	376.2454562187195	301.4841	81.98073	411.71268	164.84496	151.14285	348.30057	1.7748681	349.77686	343.5281	143.7	167.21658	51.57869	212.02495	-49.25255	4.8226113	-0.38782868	2.4495401	18.157364	-9.141594	-174.1937	0.3889312	0.033931427	0.45059764	0.33493894	-1.312105	0.85356086	0.6681683	5.417474	3.065914e-06
9	9999	563.5712792873383	350.6608	123.06435	570.6075	164.68869	160.0	7.0687203	0.22351773	7.654215	6.881918	11.1	159.63304	49.666145	194.75313	-40.732937	3.3581963	-0.07549183	2.5137813	19.586096	-11.475946	-165.74532	0.29564813	0.02076209	0.3348441	0.2611716	-1.306241	0.89870876	0.6828413	6.558659	2.5629997e-06
10	10999	657.4258890151978	310.60675	92.927345	422.53204	143.52353	139.85715	406.27084	1.0362011	407.65286	404.91815	148.4	141.52863	42.193146	187.10696	-23.384031	3.0789945	0.13806365	2.577083	28.015722	-9.917945	-146.44363	0.23441447	0.016994067	0.2623675	0.20724384	-1.2544345	0.9198423	0.71363217	9.4838085	1.0728836e-06
